nombre_carrera,fecha,categoria,url_base,paginas_leidas,n_masculino,n_femenino,n_desconocido,n_total,n_filas_unicas,n_filas_sin_codigo
II CARREIRA SOLIDARIA ABANCA NOCTURNA DAS FESTAS DE LALIN,22 sept. 2017,HANDBIKE,https://ccnorte.com/resultados/segunda-carreira-solidaria-abanca-nocturna-das-festas/handbike/1,1,2,0,0,2,2,0
IV CARREIRA POPULAR DOLMEN DE DOMBATE,23 sept. 2017,ABSOLUTOS 3K (1999 E ANTERIORES),https://ccnorte.com/resultados/iv-carreira-popular-dolmen-de-dombate/3k/1,7,71,95,0,166,166,0
IV EDICION DE LA MEDIA MARATON ALAS DE VIDA,23 sept. 2017,7 KM,https://ccnorte.com/resultados/iv-edicion-de-la-media-maraton-alas-de-vida/7km/1,4,78,19,0,97,97,0
IV CARREIRA POPULAR DOLMEN DE DOMBATE,23 sept. 2017,ABSOLUTOS 10K (1999 E ANTERIORES),https://ccnorte.com/resultados/iv-carreira-popular-dolmen-de-dombate/absolutos-10k-1999-e-anteriores/1,9,177,47,0,224,224,0
II CARREIRA SOLIDARIA ABANCA NOCTURNA DAS FESTAS DE LALIN,22 sept. 2017,ADULTOS (2001 E ANTERIORES),https://ccnorte.com/resultados/segunda-carreira-solidaria-abanca-nocturna-das-festas/adultos/1,7,123,48,0,171,171,0
XVI Carreira Pedestre Vila de Corcubión,16 sept. 2017,BENXAMÍN (2008-2009),https://ccnorte.com/resultados/xvi-carreira-pedestre-vila-de-corcubion/benxamin-2008-2009/1,2,14,17,0,31,31,0
XVI Carreira Pedestre Vila de Corcubión,16 sept. 2017,ALEVÍN (2006-2007),https://ccnorte.com/resultados/xvi-carreira-pedestre-vila-de-corcubion/alevin-2006-2007/1,2,12,14,0,26,26,0
XVI Carreira Pedestre Vila de Corcubión,16 sept. 2017,"INFANTIL (2004-2005), CADETE (2002-2003) E XUVENIL (2000-2001)",https://ccnorte.com/resultados/xvi-carreira-pedestre-vila-de-corcubion/infantil-2004-2005-cadete-2002-2003-e-xuvenil-2000-2001/1,2,7,20,0,27,27,0
XVI Carreira Pedestre Vila de Corcubión,16 sept. 2017,ABSOLUTA 3K CONTRA O CANCRO (1999 E ANOS ANTERIORES),https://ccnorte.com/resultados/xvi-carreira-pedestre-vila-de-corcubion/absoluta-3k-contra-o-cancro-1999-e-anos-anteriores/1,3,32,33,0,65,65,0
XVI Carreira Pedestre Vila de Corcubión,16 sept. 2017,ABSOLUTA 10K (1999 E ANTERIORES),https://ccnorte.com/resultados/xvi-carreira-pedestre-vila-de-corcubion/absoluta-10k-1999-e-anteriores/1,6,122,28,0,150,150,0
III Vertiatlon Solidario Baiona,16 sept. 2017,ABSOLUTA MASCULINA,https://ccnorte.com/resultados/iii-vertiatlon-solidario-baiona/masculina/1,5,0,116,0,116,115,0
III Vertiatlon Solidario Baiona,16 sept. 2017,ABSOLUTA FEMENINA,https://ccnorte.com/resultados/iii-vertiatlon-solidario-baiona/femenina/1,1,0,20,0,20,20,0
TRISHARK NARÓN,16 sept. 2017,SUPERSPRINT FEMENINA,https://ccnorte.com/resultados/v-triatlon-concello-de-riveira/supersprint-femenina/1,1,0,18,0,18,18,0
TRISHARK NARÓN,16 sept. 2017,SPRINT FEMENINA,https://ccnorte.com/resultados/v-triatlon-concello-de-riveira/sprint-femenina/1,1,0,12,0,12,12,0
TRISHARK NARÓN,16 sept. 2017,SUPERSPRINT MASCULINA,https://ccnorte.com/resultados/v-triatlon-concello-de-riveira/supersprint/1,2,26,0,0,26,26,0
I CTO. GALEGO DE AUGAS ABERTAS,16 sept. 2017,CATEGORÍA ALEVÍN,https://ccnorte.com/resultados/i-cto-galego-de-augas-abertas/categoria-alevin/1,1,11,14,0,25,25,0
TRISHARK NARÓN,16 sept. 2017,SPRINT MASCULINA,https://ccnorte.com/resultados/v-triatlon-concello-de-riveira/sprint-masculina/1,3,53,0,0,53,53,0
I CTO. GALEGO DE AUGAS ABERTAS,16 sept. 2017,CATEGORÍA INFANTIL,https://ccnorte.com/resultados/i-cto-galego-de-augas-abertas/categoria-infantil/1,2,19,14,0,33,33,0
21K COSTA DA VELA 2017,17 sept. 2017,21KM,https://ccnorte.com/resultados/21k-costa-da-vela-2017/21k/1,21,435,69,0,504,504,0
V Carreira Popular “Benquerencia Terra Mar”,10 sept. 2017,PRE-BENXAMIN (2010-2011),https://ccnorte.com/resultados/v-carreira-popular-benquerencia-terra-mar/pre-benxamin-2010-2011/1,1,11,10,0,21,21,0
I CTO. GALEGO DE AUGAS ABERTAS,16 sept. 2017,"CATEGORÍAS JUNIOR-1, JUNIOR-2 Y SENIOR",https://ccnorte.com/resultados/i-cto-galego-de-augas-abertas/categorias-junior-1-junior-2-y-senior/1,2,32,12,0,44,44,0
V Carreira Popular “Benquerencia Terra Mar”,10 sept. 2017,BENXAMIN (2008-2009),https://ccnorte.com/resultados/v-carreira-popular-benquerencia-terra-mar/benxamin-2008-2009/1,1,8,9,0,17,17,0
