pagina,nombre_carrera,fecha,circuito_nombre,circuito_url,imagen_url,categoria,categoria_url,categoria_es_interna
1,IV TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-69ef5de1cbe474.04910799.jpg,RELEVO (2X3500m),https://ccnorte.com/resultados/iv-travesia-de-aguas-abiertas-embalse-de-riano/relevo-2x3500m/1,True
1,IV TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-69ef5de1cbe474.04910799.jpg,7000m,https://ccnorte.com/resultados/iv-travesia-de-aguas-abiertas-embalse-de-riano/7000m/1,True
1,IV TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-69ef5de1cbe474.04910799.jpg,3500m,https://ccnorte.com/resultados/iv-travesia-de-aguas-abiertas-embalse-de-riano/3500m/1,True
1,IV TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-69ef5de1cbe474.04910799.jpg,1500m,https://ccnorte.com/resultados/iv-travesia-de-aguas-abiertas-embalse-de-riano/1500m/1,True
1,IV TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-69ef5de1cbe474.04910799.jpg,800m,https://ccnorte.com/resultados/iv-travesia-de-aguas-abiertas-embalse-de-riano/800m/1,True
1,IV TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-69ef5de1cbe474.04910799.jpg,400m,https://ccnorte.com/resultados/iv-travesia-de-aguas-abiertas-embalse-de-riano/400m/1,True
1,XI CARREIRA PEDESTRE CONCELLO DE CEE (NOCTURNA),18 jul. 2026,XI CIRCUITO DE CARREIRAS POPULARES CORRENDO POLA COSTA DA MORTE 2026,https://ccnorte.com/resultados/circuito/xi-circuito-de-carreiras-populares-correndo-pola-costa-da-morte-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a0ff801a8ce87.50284212.jpg,SUB10 (2017-2018),https://correndopolacostadamorte.com/,False
1,XI CARREIRA PEDESTRE CONCELLO DE CEE (NOCTURNA),18 jul. 2026,XI CIRCUITO DE CARREIRAS POPULARES CORRENDO POLA COSTA DA MORTE 2026,https://ccnorte.com/resultados/circuito/xi-circuito-de-carreiras-populares-correndo-pola-costa-da-morte-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a0ff801a8ce87.50284212.jpg,SUB12 (2015-2016),https://correndopolacostadamorte.com/,False
1,XI CARREIRA PEDESTRE CONCELLO DE CEE (NOCTURNA),18 jul. 2026,XI CIRCUITO DE CARREIRAS POPULARES CORRENDO POLA COSTA DA MORTE 2026,https://ccnorte.com/resultados/circuito/xi-circuito-de-carreiras-populares-correndo-pola-costa-da-morte-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a0ff801a8ce87.50284212.jpg,3K CONTRA O CANCRO (2010 e anteriores),https://correndopolacostadamorte.com/,False
1,XI CARREIRA PEDESTRE CONCELLO DE CEE (NOCTURNA),18 jul. 2026,XI CIRCUITO DE CARREIRAS POPULARES CORRENDO POLA COSTA DA MORTE 2026,https://ccnorte.com/resultados/circuito/xi-circuito-de-carreiras-populares-correndo-pola-costa-da-morte-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a0ff801a8ce87.50284212.jpg,SUB14 (13-14) / SUB16 (11-12) / SUB18 (09-10),https://correndopolacostadamorte.com/,False
1,XI CARREIRA PEDESTRE CONCELLO DE CEE (NOCTURNA),18 jul. 2026,XI CIRCUITO DE CARREIRAS POPULARES CORRENDO POLA COSTA DA MORTE 2026,https://ccnorte.com/resultados/circuito/xi-circuito-de-carreiras-populares-correndo-pola-costa-da-morte-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a0ff801a8ce87.50284212.jpg,ABSOLUTA 10K (2010 e anteriores),https://correndopolacostadamorte.com/,False
2,XVII SUBIDA CICLOTURISTA A GROBA 2026,18 jul. 2026,BAIONA CO DEPORTE 2026,https://ccnorte.com/reto/baiona-co-deporte-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a0711b01608a6.74201003.jpg,KM 11 CONJUNTA,https://baionacodeporte.gal/,False
2,XVII SUBIDA CICLOTURISTA A GROBA 2026,18 jul. 2026,BAIONA CO DEPORTE 2026,https://ccnorte.com/reto/baiona-co-deporte-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a0711b01608a6.74201003.jpg,EQUIPOS SUBIDA A GROBA 2026 CONJUNTA,https://baionacodeporte.gal/,False
2,XXIV TRÍATLON CIDADE DE FERROL,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a4e01fa5c88b1.51057272.jpg,FEMININA LIGA,https://ccnorte.com/resultados/xxiv-triatlon-cidade-de-ferrol/feminina-liga/1,True
2,XXIV TRÍATLON CIDADE DE FERROL,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a4e01fa5c88b1.51057272.jpg,MASCULINA LIGA,https://ccnorte.com/resultados/xxiv-triatlon-cidade-de-ferrol/masculina-liga/1,True
2,XXIV TRÍATLON CIDADE DE FERROL CTO EUROPA YOUTH,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/no-image.png,FEMININA YOUTH,https://ccnorte.com/resultados/xxiv-triatlon-cidade-de-ferrol-cto-europa-youth/feminina-youth/1,True
2,XXIV TRÍATLON CIDADE DE FERROL CTO EUROPA YOUTH,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/no-image.png,MASCULINA YOUTH,https://ccnorte.com/resultados/xxiv-triatlon-cidade-de-ferrol-cto-europa-youth/masculina-youth/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,BENXAMIN FEMENINA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/benxamin-femenina/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,BENXAMIN MASCULINA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/benxamin-masculina/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,ALEVIN FEMENINA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/alevin-femenina/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,ALEVIN MASCULINA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/alevin-masculina/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,INFANTIL MASCULINA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/infantil-masculina/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,INFANTIL FEMENINA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/infantil-femenina/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,CADETE MASCULINA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/cadete-masculina/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,CADETE FEMENINA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/cadete-femenina/1,True
2,TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2026,18 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a43ae57dd9700.36375043.jpg,CTO GALEGO REMUDA MIXTA,https://ccnorte.com/resultados/triatlon-de-menores-cidade-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2026/remuda-mixta/1,True
