nombre_carrera,municipio,comarca,provincia
35 CROSS POPULAR VILLA DE GIJON,Gijón / Xixón,,Asturias / Asturies
36 CROSS POPULAR VILLA DE GIJON,Gijón / Xixón,,Asturias / Asturies
37 CROSS POPULAR VILLA DE GIJÓN,Gijón / Xixón,,Asturias / Asturies
38 CARREIRA PEDESTRE POPULAR DE SANTIAGO,Santiago de Compostela,Santiago,Galicia
38 Cross Popular Villa de Gijón,Gijón / Xixón,,Asturias / Asturies
39 CARREIRA PEDESTRE POPULAR DE SANTIAGO,Santiago de Compostela,Santiago,Galicia
39 Cross Popular Villa de Gijón,Gijón / Xixón,,Asturias / Asturies
3HORAS POR RELEVOS MONUMENTALES DE LUGO,Lugo,Lugo,Lugo
3ª CARREIRA PEDESTRE CONCELLO DE CEE 2016,Cee,Fisterra,Galicia
3ª CARREIRA PEDESTRE CONCELLO DE FISTERRA 2016,Fisterra,Fisterra,Galicia
3ª CARREIRA RURAL DE A MEZQUITA,A Mezquita,Viana,Ourense
3ª CARRERA POPULAR 10KM OVIEDO - LAS CALDAS VILLA TERMAL,Oviedo,,Asturias / Asturies
3ª TRAVESÍA DEL ESTE (GIJÓN),Teguise,,Las Palmas
3ª TRAVESÍA LARGA (GIJÓN),Biota,Cinco Villas,Aragón
3ª TRAVESÍA NOCTURNA DE BEGOÑA (GIJÓN),Madrid,,Comunidad de Madrid
3ª TRAVESÍA PLAYAS DE GIJÓN,Gijón / Xixón,,Asturias / Asturies
3º CAMPEONATO NACIONAL OCR - ALLARIZ 2018,Allariz,Allariz-Maceda,Ourense
40 CARREIRA PEDESTRE POPULAR DE SANTIAGO,Santiago de Compostela,Santiago,Galicia
41 CARREIRA PEDESTRE POPULAR DE SANTIAGO,Santiago de Compostela,Santiago,Galicia
41 Cross Popular Villa de Gijón,Gijón / Xixón,,Asturias / Asturies
42 CARREIRA PEDESTRE POPULAR DE SANTIAGO,Santiago de Compostela,Santiago,Galicia
44 SAN SILVESTRE GIJÓN 2013,,,
45 SAN SILVESTRE GIJON 2014,,,
46 SAN SILVESTRE GIJÓN,,,
47 SAN SILVESTRE GIJON,,,
48 SAN SILVESTRE GIJON,,,
49 EDP SAN SILVESTRE GIJÓN,,,
4ª CARREIRA RURAL DE A MEZQUITA,A Mezquita,Viana,Ourense
4ª TRAVESÍA NOCTURNA DE BEGOÑA,Madrid,,Comunidad de Madrid
4ª TRAVESÍA PLAYAS DE GIJÓN,Gijón / Xixón,,Asturias / Asturies
4º TRAVESÍA DEL ESTE (GIJÓN),Teguise,,Las Palmas
5+5 CALVARIO (VIGO),Ferrol,Ferrol,Galicia
5+5 CALVARIO (VIGO) 2019,Ferrol,Ferrol,Galicia
5+5 CALVARIO (VIGO) 2020,Ferrol,Ferrol,Galicia
50 EDP SAN SILVESTRE GIJÓN,,,
5K BURELA BONITA 2021,,,
5K LEYMA CORUÑA – ABÓNATE!!,,,
5K LEYMA CORUÑA – ABÓNATE!! 2018,,,
5K-10K 1ª CARRERA POPULAR GALIEXPO RUNNING,,,
5KM CAMPO DA CABANA FOZ 2022,Foz,A Mariña Central,Lugo
5ª Carreira Pedestre Concello de Cee,Cee,Fisterra,Galicia
5º TRAIL TERRAS DO MANDEO,Teixeiro,Betanzos,Galicia
6 Horas Vila do Corpus 2022 – “Sen Límites” #KmpolaInclusión,el Pont de Suert,Alta Ribagorça,Lleida
6K CONCELLO DE A VEIGA (V D3SAFÍO42 OURENSE),A Veiga,Valdeorras,Ourense
6K SunSet Encoro de Cachamuíña (IV D3SAFIO42),Esgos,Ourense,Ourense
6º TRAIL TERRAS DO MANDEO,Teixeiro,Betanzos,Galicia
7 TEBAIDA BERCIANA,,,
7ª SÚBIDA CICLOTURISTA A GROBA 2015,Ribadavia,O Ribeiro,Ourense
7ª TRAVESÍA A NADO VILA DE BAIONA,Baiona,Vigo,Galicia
8 KM DE CASTRILLON,Castrillón,,Asturias / Asturies
8 KM DE CASTRILLON 2013,Castrillón,,Asturias / Asturies
8 KM. DE CASTRILLON 2012 (20 CARRERA POPULAR),Castrillón,,Asturias / Asturies
80 TRAVESIA A NADO Á ENSEADA DE SAN AMARO,San Amaro,O Carballiño,Ourense
81 TRAVESIA A NADO Á ENSEADA DE SAN AMARO,San Amaro,O Carballiño,Ourense
82 TRAVESIA A NADO Á ENSEADA DE SAN AMARO,San Amaro,O Carballiño,Ourense
84 TRAVESIA A NADO Á ENSEADA DE SAN AMARO,San Amaro,O Carballiño,Ourense
8K DO LÉREZ 2017 (PONTEVEDRA),Pontevedra,Pontevedra,Galicia
8K DO LÉREZ 2018 (PONTEVEDRA),Pontevedra,Pontevedra,Galicia
8KM CASTRILLÓN 2016 (ASTURIAS),Castrillón,,Asturias / Asturies
8KM CASTRILLÓN 2017 (ASTURIAS),Castrillón,,Asturias / Asturies
8KM CASTRILLÓN 2018 (ASTURIAS),Castrillón,,Asturias / Asturies
8KM CASTRILLÓN 2019 (ASTURIAS),Castrillón,,Asturias / Asturies
8KM CASTRILLÓN 2022 (ASTURIAS),Castrillón,,Asturias / Asturies
8KM CASTRILLÓN 2023 (ASTURIAS),Castrillón,,Asturias / Asturies
8KM CASTRILLÓN 2024 (ASTURIAS),Castrillón,,Asturias / Asturies
8KM CASTRILLÓN 2025 (ASTURIAS),Castrillón,,Asturias / Asturies
8km DE CASTRILLÓN 2015 (ASTURIAS),Castrillón,,Asturias / Asturies
8ª CARREIRA PEDESTRE POPULAR DA COSTA DA MORTE EL CORREO GALLEGO,Ferrol,Ferrol,Galicia
8ª TRAVESÍA A NADO VILA DE BAIONA,Baiona,Vigo,Galicia
9 KM POPULARES OVIEDO - LAS CALDAS VILLA TERMAL 2013,Oviedo,,Asturias / Asturies
9ª CARREIRA PEDESTRE POPULAR COSTA DA MORTE EL CORREO GALLEGO – CONCELLO DA LARACHA,A Laracha,Bergantiños,Galicia
9ª CORRIDA DO BENFICA - ANTÓNIO LEITÃO 2014,,,
9ª TRAVESÍA A NADO VILA DE BAIONA,Baiona,Vigo,Galicia
AGUAS ABIERTAS (AF) CASTRELO DE MIÑO,A Carreira,Betanzos,Galicia
AMAZONIA RACE NARÓN 2019,,,
ANDAINA 25KM INTERNACIONAL FRIOL,Friol,Lugo,Lugo
ANDAINA NOIA 2026,Noia,Noia,Galicia
"BAIONA 14 - 30 CARREIRA PEDESTRE POPULAR ""ANDAR E CORRER""",,,
BOAMORTE DESAFÍO COUREL: MARATÓN MTB,,,
BOMBEROS RACE VIGO 2018,A Igrexa,Vigo,Galicia
BOMBEROS RACE VIGO 2019,A Igrexa,Vigo,Galicia
C-TRAIL BOMBEIROS CORUÑA 2022,Betanzos,Betanzos,Galicia
C-TRAIL BOMBEIROS CORUÑA 2023,Betanzos,Betanzos,Galicia
C-TRAIL BOMBEIROS CORUÑA 2024,Betanzos,Betanzos,Galicia
C.C. AS TERMAS,Lugo,Lugo,Lugo
CAMPEONATO DE ESPAÑA ABSOLUTO DE MARATON 2013,Madrid,,Comunidad de Madrid
CAMPEONATO DE ESPAÑA CICLISMO ADAPTADO CONTRARRELOJ,,,
CAMPEONATO DE ESPAÑA CICLISMO ADAPTADO RUTA,,,
CAMPEONATO DE ESPAÑA VETERANO DE MARATON 2013,Madrid,,Comunidad de Madrid
"CAMPEONATO GALLEGO JUNIOR, PROMESA, ABSOLUTO Y VETERANO DE MARATON 2013",Madrid,,Comunidad de Madrid
CAMPIONATO GALEGO - CAMPO A TRAVÉS,La Litera / La Llitera,,Aragón
CAMPIONATO GALEGO 10KM EN RUTA. PADRON (SOLO INSCRITOS POR FEDERACION),Padrón,O Sar,Galicia
CARREIRA 5+5 PONTENOITE 2013. 10 KM,,,
CARREIRA 5+5 PONTENOITE 2013. 5 KM,,,
CARREIRA CARNEIRO O ESPETO 2014 4KM,A Coruña,A Coruña,Galicia
CARREIRA CARNEIRO O ESPETO 2014 8KM,A Coruña,A Coruña,Galicia
CARREIRA CARNEIRO Ó ESPETO 2013,A Coruña,A Coruña,Galicia
CARREIRA CARNEIRO Ó ESPETO.INFANTÍS E CADETES 2013,Albarracín,Sierra de Albarracín,Aragón
CARREIRA DA CARBALLEIRA (CxOU 2016),Mos,Vigo,Galicia
CARREIRA DA CARBALLEIRA (CxOU 2017),Mos,Vigo,Galicia
CARREIRA DA CARBALLEIRA (CxOU 2018),Mos,Vigo,Galicia
CARREIRA DA CARBALLEIRA (CxOU 2019),Mos,Vigo,Galicia
CARREIRA DA CARBALLEIRA (CxOU 2023),Mos,Vigo,Galicia
CARREIRA DA CARBALLEIRA 2013 ADULTOS,Mos,Vigo,Galicia
CARREIRA DA CARBALLEIRA 2013 MENORES,Mos,Vigo,Galicia
CARREIRA DA CARBALLEIRA 2015,Mos,Vigo,Galicia
CARREIRA DA PONTE (CxOU 2016),Cambre,A Coruña,Galicia
CARREIRA DA PONTE (CxOU 2017),Cambre,A Coruña,Galicia
CARREIRA DA PONTE (CxOU 2018),Cambre,A Coruña,Galicia
CARREIRA DA PONTE (CxOU 2019),Cambre,A Coruña,Galicia
CARREIRA DA PONTE 2015,Cambre,A Coruña,Galicia
CARREIRA DA ZONA UNIVERSITARIA (CxOU 2016),Barcelona,Barcelonès,Catalunya
CARREIRA DA ZONA UNIVERSITARIA (CxOU 2017),Barcelona,Barcelonès,Catalunya
CARREIRA DA ZONA UNIVERSITARIA (CxOU 2018),Barcelona,Barcelonès,Catalunya
CARREIRA DA ZONA UNIVERSITARIA (CxOU 2019),Barcelona,Barcelonès,Catalunya
CARREIRA DA ZONA UNIVERSITARIA 2015,Barcelona,Barcelonès,Catalunya
CARREIRA DE CORPUS 2015,el Pont de Suert,Alta Ribagorça,Lleida
CARREIRA DO CENTRO (CxOU 2017),Madrid,,Comunidad de Madrid
CARREIRA DO CENTRO (CxOU 2018),Madrid,,Comunidad de Madrid
CARREIRA DO CENTRO (CxOU 2019),Madrid,,Comunidad de Madrid
CARREIRA DO CENTRO OU CORPUS (CxOU 2016),,,
CARREIRA DO COUTO (CxOU 2016),Gomesende,Terra da Celanova,Ourense
CARREIRA DO COUTO (CxOU 2017),Gomesende,Terra da Celanova,Ourense
CARREIRA DO COUTO (CxOU 2018),Gomesende,Terra da Celanova,Ourense
CARREIRA DO COUTO (CxOU 2019),Gomesende,Terra da Celanova,Ourense
CARREIRA DO COUTO 2015,Gomesende,Terra da Celanova,Ourense
CARREIRA DO VINTEUN (CxOU 2016),Ourense,Ourense,Ourense
CARREIRA DO VINTEUN (CxOU 2017),Ourense,Ourense,Ourense
CARREIRA DO VINTEUN (CxOU 2018),Ourense,Ourense,Ourense
CARREIRA DO VINTEUN (CxOU 2019),Ourense,Ourense,Ourense
CARREIRA DO VINTEÚN 2015,Ourense,Ourense,Ourense
CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,Pontedeume,O Eume,Galicia
CARREIRA O SAVIÑAO 2012. CIRC LEADER RIB SACRA,O Saviñao,Terra de Lemos,Lugo
CARREIRA PEDESTRE BATALLA DE CACHEIRAS 2013,Cacheiras,Santiago,Galicia
CARREIRA PEDESTRE COSTA DA MORTE - ECG - MUXÍA,Muxía,Fisterra,Galicia
CARREIRA PEDESTRE “DEPORTE E VIDA ACTIVA EN SANTA COMBA”,Santa Comba,O Xallas,Galicia
CARREIRA POLA RÍA DO BURGO,la Guingueta d'Àneu,Pallars Sobirà,Lleida
CARREIRA PONLLE FREO PONTEVEDRA 2017,,,
CARREIRA PONLLE FREO PONTEVEDRA 2018,,,
CARREIRA PONLLE FREO PONTEVEDRA 2019,,,
CARREIRA PONLLE FREO PONTEVEDRA 2022,,,
CARREIRA POPULAR 30 ANIVERSARIO CONDES DE ALBAREI – PAZO BAIÓN,Vilanova de Arousa,O Salnés,Galicia
CARREIRA POPULAR CONCELLO DE A PASTORIZA,Padrón,O Sar,Galicia
CARREIRA POPULAR CONCELLO DE BOIMORTO 2012,A Gándara,Arzúa,Galicia
CARREIRA POPULAR CONCELLO DE COSPEITO,Cospeito,Terra Chá,Lugo
CARREIRA POPULAR DA FUNDACION CELTA DE VIGO | INVASIÓN CELESTE 2014. PERCORRIDO DE 1K,Galapagar,,Comunidad de Madrid
CARREIRA POPULAR DA FUNDACION CELTA DE VIGO | INVASIÓN CELESTE 2014. PERCORRIDO DE 6K,Galapagar,,Comunidad de Madrid
CARREIRA POPULAR DE A MERCA 2013,A Merca,Terra da Celanova,Ourense
CARREIRA POPULAR DE A MERCA 2014 ABSOLUTA,A Merca,Terra da Celanova,Ourense
CARREIRA POPULAR DE A MERCA 2014 MENORES,A Merca,Terra da Celanova,Ourense
CARREIRA POPULAR DE A MERCA 2015,A Merca,Terra da Celanova,Ourense
CARREIRA POPULAR DE A MERCA 2016,A Merca,Terra da Celanova,Ourense
CARREIRA POPULAR MONDOÑEDO MONUMENTAL,,,
CARREIRA POPULAR POLA LINGUA - RAXÓ,Poio,Pontevedra,Galicia
CARREIRA POPULAR SAN ROQUE DE LARIN 2023 - ARTEIXO,Arteixo,A Coruña,Galicia
CARREIRA POPULAR SOLIDARIA DE REIS CONCELLO DE BARREIROS 2020,Barreiros,A Mariña Oriental,Lugo
CARREIRA POPULAR TOFFE CONCELLO DE RIANXO,Rianxo,A Barbanza,Galicia
CARREIRA POPULAR UN MOIO,,,
CARREIRA POPULAR XINZO DE LIMIA 2015,Allariz,Allariz-Maceda,Ourense
CARREIRA POPULAR XINZO DE LIMIA 2016,Allariz,Allariz-Maceda,Ourense
CARREIRA POPULAR XINZO DE LIMIA 2017,Allariz,Allariz-Maceda,Ourense
CARREIRA POPULAR XINZO DE LIMIA 2018,Allariz,Allariz-Maceda,Ourense
CARREIRA POPULAR “XXX MEMORIAL ADOLFO ROS – VOLTA Á RÍA”,Fisterra,Fisterra,Galicia
CARREIRA SANTA CRUZ - MONDIGO (RIBADEO) 2016,Ribadeo,A Mariña Oriental,Lugo
"CARREIRA SOLIDARIA VIRTUAL ""SOMOS UNIDOS POR EL CANCER"" 2021",Babilafuente,,Salamanca
CARREIRA “50 ANIVERSARIO A MERCED-AS ACEAS” (SARRIA),,,
CARREIRA-ANDAINA SOLIDARIA RUTA DO ROMANICO,Puente la Reina / Gares,Izarbeibar-Novenera,Navarra
CARRERA 10 KM PEÑACORADA 2012,Cistierna,,León
CARRERA CARREFOUR FERROL,Ferrol,Ferrol,Galicia
CARRERA CLUB FLUVIAL DE LUGO,Lugo,Lugo,Lugo
CARRERA DE EMPRESAS GALICIA 2023 PORRIÑO,Zaragoza,Zaragoza,Aragón
CARRERA DE MENORES MINI ATLÁNTICA,,,
CARRERA DE VIGO CONTRA EL CÁNCER,Murcia,Área Metropolitana de Murcia,Región de Murcia
CARRERA DE VIGO CONTRA EL CÁNCER 2016,Murcia,Área Metropolitana de Murcia,Región de Murcia
CARRERA DE VIGO CONTRA EL CÁNCER 2017,Murcia,Área Metropolitana de Murcia,Región de Murcia
CARRERA DE VIGO CONTRA EL CÁNCER 2018,Murcia,Área Metropolitana de Murcia,Región de Murcia
CARRERA POPULAR DRAGOMAN 2013,,,
CARRERA POPULAR MEDIA MARATON ANCARES 2014,,,
CARRERA POPULAR SIN-SON 10 KM 2012,Ciutadella,Menorca,Illes Balears
CARRERA SOLIDARIA CONTRA EL HAMBRE,Madrid,,Comunidad de Madrid
CATOUTE VERTICAL 2014,,,
CCCP 2014. VII CARREIRA PEDESTRE DE CAMPAÑÓ - GRAN PREMIO HOTEL CAMPANIOLA 2014,Pontevedra,Pontevedra,Galicia
CCCP 2014. VII CARREIRA PEDESTRE DE CAMPAÑÓ - GRAN PREMIO HOTEL CAMPANIOLA 2014. CCCP,Pontevedra,Pontevedra,Galicia
CCCP 2014. VII CARREIRA PEDESTRE DE CAMPAÑÓ - GRAN PREMIO HOTEL CAMPANIOLA 2014. COMPENSADA FEMENINA,Pontevedra,Pontevedra,Galicia
CCCP 2014. VII CARREIRA PEDESTRE DE CAMPAÑÓ - GRAN PREMIO HOTEL CAMPANIOLA 2014. COMPENSADA MASCULINA,Pontevedra,Pontevedra,Galicia
CHANDREXA TRAIL 2017,Chandrexa de Queixa,Terra de Trives,Ourense
CHANDREXA TRAIL 2018,Chandrexa de Queixa,Terra de Trives,Ourense
CHANDREXA TRAIL 2019,Chandrexa de Queixa,Terra de Trives,Ourense
"CIRCUITO DECATHLON, 10600M",,,
CLASICA ALVARO PINO 2013,As Neves,O Condado,Galicia
"COESES, CORRENDO POLO RURAL",Zaragoza,Zaragoza,Aragón
CONTRARRELOXO TRAIL-BTT PENEDwOMAN VIVEIRO,,,
COPA GALLEGA DE MONTAÑA (SOLO FEDERADOS): MONTES DE VIVEIRO 2012,Viveiro,A Mariña Occidental,Lugo
CORRE CON NOS - GRAN PREMIO LARSA 2022,Villarrobledo,,Albacete
"CORRE CON NOS FEIRA EXPOSICIONS, ADULTOS",,,
"CORRE CON NOS FEIRA EXPOSICIONS, NENOS",,,
CORRE CON NOS PISTAS ADULTOS,,,
"CORRE CON NOS PISTAS CATEGORIAS A,B Y C",Palencia,,Palencia
CORRE CON NOS XII+I - AS TERMAS,Lugo,Lugo,Lugo
CORRE CON NOS XII+I - Montirón San Fiz,Lugo,Lugo,Lugo
CORRE CON NOS XII+I - PARADAI,Lugo,Lugo,Lugo
CORRE CON NOS XII+I - RECINTO FEIRAL,Cospeito,Terra Chá,Lugo
CORRE CON NOS XII+I AS GANDARAS 5300M,,,
CORRE CON NOS XII+I NOCTURNA MONUMENTAL,,,
CORRE CON NOS XII+I PISTAS G. PÉREZ RIVERA 4900M,,,
CORRE CON NOS. BARRIO SANFIZ,,,
CORRE CON NOS. C.C. AS TERMAS,Lugo,Lugo,Lugo
CORRE CON NOS. NOCTURNA MONUMENTAL,,,
CORRE CON NOS. PARQUE DE FRIGSA (FINAL ADULTOS),Lugo,Lugo,Lugo
CORRE CON NOS. PASEO OMBREIRO (SAAMASAS-ANXO CARRO),,,
CORRE CON NOS. RECINTO FEIRAL,Cospeito,Terra Chá,Lugo
CORRE CON NÓS CC AS TERMAS,Lugo,Lugo,Lugo
CORRE CON NÓS Corre con Elas,,,
CORRENDO POLA VIA KÜNIG,As Nogais,Os Ancares,Lugo
