nombre_carrera,fecha,categoria,n_masculino,n_femenino,n_desconocido,n_total,categoria_genero
III CARREIRA POPULAR DO CONCELLO DE RIBAS E SIL 2014,2014-03-23,PROBA ABSOLUTA. DISTANCIA: 6900 M,0,0,0,0,mixto
III CARREIRA POPULAR DOLMEN DE DOMBATE,2016-09-24,ABSOLUTOS 10K (1998 E ANTERIORES),163,30,0,193,mixto
III CARREIRA POPULAR DOLMEN DE DOMBATE,2016-09-24,ALEVIN (2005-2006),11,12,0,23,mixto
III CARREIRA POPULAR DOLMEN DE DOMBATE,2016-09-24,BENXAMIN (2007-2008),21,7,0,28,mixto
III CARREIRA POPULAR DOLMEN DE DOMBATE,2016-09-24,INFANTIL - CADETE - XUVENIL E SENIOR 3K,80,105,0,185,mixto
III CARREIRA POPULAR E ANDAINA “CENTRO XEOGRÁFICO DE GALICIA-ANTAS DE ULLA”,2026-06-27,ABSOLUTA (2008 e anteriores),60,21,0,81,mixto
III CARREIRA POPULAR E ANDAINA “CENTRO XEOGRÁFICO DE GALICIA-ANTAS DE ULLA”,2026-06-27,SUB 10 (2017-2018),6,6,0,12,mixto
III CARREIRA POPULAR E ANDAINA “CENTRO XEOGRÁFICO DE GALICIA-ANTAS DE ULLA”,2026-06-27,SUB 12 (2015-2016),10,5,0,15,mixto
III CARREIRA POPULAR E ANDAINA “CENTRO XEOGRÁFICO DE GALICIA-ANTAS DE ULLA”,2026-06-27,SUB 14 (2013-2014),4,4,0,8,mixto
III CARREIRA POPULAR E ANDAINA “CENTRO XEOGRÁFICO DE GALICIA-ANTAS DE ULLA”,2026-06-27,SUB 16 (2011-2012)-SUB 18 (2009-2010),3,2,0,5,mixto
III CARREIRA POPULAR E ANDAINA “CENTRO XEOGRÁFICO DE GALICIA-ANTAS DE ULLA”,2026-06-27,SUB 8 (2019-2020),15,12,0,27,mixto
III CARREIRA POPULAR FESTA DA AUGARDENTE DE PORTOMARÍN,2017-04-16,CARREIRA ABSOLUTA (2000 E ANOS ANTERIORES),133,28,0,161,mixto
III CARREIRA POPULAR GUITIRIZ TERMAL 2008,2008-09-27,Carrera,152,0,0,152,mixto
III CARREIRA POPULAR NOVO MESOIRO - MEMORIAL IVAN ROCHA FREIRE 2013,2013-11-03,PRUEBA ABSOLUTA. DISTANCIA: 7000 M,0,0,0,0,mixto
III CARREIRA POPULAR NOVO MESOIRO - MEMORIAL IVAN ROCHA FREIRE 2013. MENORES,2013-11-03,ALEVIN . DISTANCIA: 800 M,0,0,0,0,mixto
III CARREIRA POPULAR NOVO MESOIRO - MEMORIAL IVAN ROCHA FREIRE 2013. MENORES,2013-11-03,BENJAMIN . DISTANCIA: 800 M,0,0,0,0,mixto
III CARREIRA POPULAR NOVO MESOIRO - MEMORIAL IVAN ROCHA FREIRE 2013. MENORES,2013-11-03,CADETE Y JUVENIL. DISTANCIA: 2350 M,0,0,0,0,mixto
III CARREIRA POPULAR NOVO MESOIRO - MEMORIAL IVAN ROCHA FREIRE 2013. MENORES,2013-11-03,INFANTIL. DISTANCIA: 1600 M,0,0,0,0,mixto
III CARREIRA POPULAR PEDESTRE DE MORAÑA 2012,2012-09-23,III CARREIRA POPULAR PEDESTRE DE MORAÑA 2012,0,0,0,0,mixto
III CARREIRA POPULAR SOLIDARIA CPR LA MILAGROSA LUGO,2026-03-01,ABSOLUTA (2010 e anteriores),83,38,0,121,mixto
III CARREIRA POPULAR SOLIDARIA CPR LA MILAGROSA LUGO,2026-03-01,SUB10 (2017-2018),20,12,0,32,mixto
III CARREIRA POPULAR SOLIDARIA CPR LA MILAGROSA LUGO,2026-03-01,SUB12 (2015-2016),14,15,0,29,mixto
III CARREIRA POPULAR SOLIDARIA CPR LA MILAGROSA LUGO,2026-03-01,SUB14-SUB16 (2011-2014),13,9,0,22,mixto
III CARREIRA POPULAR VILA DE MEIRA,2022-08-13,4K (2006 e anteriores),21,13,0,34,mixto
III CARREIRA POPULAR VILA DE MEIRA,2022-08-13,8 K (2006 e anteriores),56,14,0,70,mixto
III CARREIRA POPULAR VILA DE MEIRA,2022-08-13,ALEVIN (2011-2012),6,4,0,10,mixto
III CARREIRA POPULAR VILA DE MEIRA,2022-08-13,BENXAMIN (2013-2014),13,8,0,21,mixto
III CARREIRA POPULAR VILA DE MEIRA,2022-08-13,INFANTIL (2009-2010),3,3,0,6,mixto
III CARREIRA POPULAR VILA DE MEIRA,2022-08-13,PREBENXAMIN (2015-2017),11,11,0,22,mixto
"III CARREIRA POPULAR VÍA NOVA ""CONCELLO DE BANDE""",2016-06-04,ABSOLUTA (2000 E ANTERIORES),87,13,0,100,mixto
III CARREIRA SOLIDARIA DO CONCELLO DE OUTEIRO DE REI,2017-07-01,ABSOLUTA (2001 Y ANTERIORES),138,40,0,178,mixto
III CARREIRA do ENTROIDO Concello de Vigo,2017-02-26,ABSOLUTA 10 KM (2001 E ANTERIORES),159,48,0,207,mixto
III CARREIRA do ENTROIDO Concello de Vigo,2017-02-26,ABSOLUTA 5 KM (2001 E ANTERIORES),90,88,0,178,mixto
III CARRERA ATMOSFERA SPORT,2017-05-14,10 KM (2002 Y ANTERIORES),140,25,0,165,mixto
III CARRERA ATMOSFERA SPORT,2017-05-14,5 KM (2002 Y ANTERIORES),23,26,0,49,mixto
"III CARRERA DE MONTAÑA EL ESPINO, Vega de la Espinareda",2014-09-14,PRUEBA ABSOLUTA. DISTANCIA: 14000 M,0,0,0,0,mixto
III CARRERA DE MONTAÑA FERRADILLO F8,2014-08-23,PROBA ABSOLUTA. DISTANCIA: 13000 M,0,0,0,0,mixto
III CARRERA DE RELEVOS CAMINO DE SANTIAGO. ETAPA 1,2012-09-30,III CARRERA DE RELEVOS CAMINO DE SANTIAGO. ETAPA 1,0,0,0,0,mixto
III CARRERA DE RELEVOS CAMINO DE SANTIAGO. ETAPA 2,2012-09-30,III CARRERA DE RELEVOS CAMINO DE SANTIAGO. ETAPA 2,0,0,0,0,mixto
III CARRERA DE RELEVOS CAMINO DE SANTIAGO. ETAPA 3,2012-09-30,III CARRERA DE RELEVOS CAMINO DE SANTIAGO. ETAPA 3,0,0,0,0,mixto
