nombre_carrera,candidato_lugar,ubicacion,lat,lon
DIEZ KM. UNIVERSITARIOS CIUDAD DE LEÓN 2016,LEÓN,"León, Castilla y León, España",42.6341451,-5.9714151
DOBLE MILLA SAN BARTOLO XOVE,DOBLE SAN BARTOLO XOVE,,,
DONA VIDA GIJÓN 2014,DONA VIDA GIJÓN,,,
DUATLON CROSS RIBADUMIA 2014,RIBADUMIA,"Ribadumia, O Salnés, Pontevedra, Galicia, España",42.51333,-8.7537606
Desafío Bomberos Coruña,Desafío Bomberos Coruña,,,
DÚATLON CONCELLO DE PONTEVEDRA 2022,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
DÚATLON X DE NADAL CONCELLO DE CARBALLO,CARBALLO,"Carballo, Bergantiños, A Coruña, Galicia, España",43.2086195,-8.6668237
E.ON NIGHT RACE LUGO 2013,E.ON LUGO,,,
E.ON NIGHT RACE LUGO 2014,E.ON LUGO,,,
EDP IX MEIA MARATONA DO DOURO VINHATEIRO,DOURO VINHATEIRO,,,
EDP IX MEIA MARATONA DO DOURO VINHATEIRO EM CADEIRA DE RODAS,RODAS,"Rodas, Guillarei, Tui, O Baixo Miño, Pontevedra, Galicia, 36720, España",42.070639,-8.6152544
ESTRADA RIO RATO,ESTRADA RIO RATO,,,
ETAPA DE LA VUELTA CICLOTURISTA: GIJÓN - VALGRANDE - PAJARES,LA CICLOTURISTA: GIJÓN - VALGRANDE - PAJARES,,,
ETAPA FINAL CIRCUITO GALEGO ARZUA ULLOA AUGAS ABERTAS-CAMPIONATO GALEGO CONTRA O RELOXO POR EQUIPOS,ETAPA GALEGO ARZUA ULLOA AUGAS ABERTAS-CAMPIONATO GALEGO CONTRA O RELOXO POR EQUIPOS,,,
ETAPA FINAL CIRCUITO GALLEGO AA ARZUA ULLOA OPEN 2025- CAMPEONATO GALLEGO CONTRARRELOJ EQUIPOS,ETAPA GALLEGO AA ARZUA ULLOA OPEN,,,
FARINATO RACE CIUDAD RODRIGO 2016,FARINATO RODRIGO,,,
FARINATO RACE GIJÓN 2016,FARINATO GIJÓN,,,
FARINATO RACE LEÓN 2016,FARINATO LEÓN,,,
FARINATO RACE LUGO,FARINATO LUGO,,,
FARINATO RACE MÉRIDA 2016,FARINATO MÉRIDA,,,
FARINATO RACE PAMPLONA 2016,FARINATO PAMPLONA,,,
FINAL ADULTOS PARQUE DE FRIGSA,FRIGSA,"Parque da Milagrosa, A Milagrosa, Lugo, Galicia, España",43.0222696,-7.5632399
FINAL PARQUE DE FRIGSA,FRIGSA,"Parque da Milagrosa, A Milagrosa, Lugo, Galicia, España",43.0222696,-7.5632399
GLADIATOR RACE,GLADIATOR RACE,,,
GLADIATOR RACE 2022,GLADIATOR RACE 2022,,,
