nombre_carrera,candidato_lugar,ubicacion,lat,lon
I CARREIRA POPULAR CONCELLO DE FRIOL 2013,FRIOL,"Friol, Lugo, Galicia, España",43.0340365,-7.8036448
I CARREIRA POPULAR CONCELLO DE GUNTÍN 2024,GUNTÍN,"Guntín, Lugo, Galicia, 27234, España",42.900644,-7.6583307
I CARREIRA POPULAR DOLMEN DE DOMBATE - CABANA DE BERGANTIÑOS,BERGANTIÑOS,"Bergantiños, A Coruña, Galicia, España",43.2154559,-8.7389586
I CARREIRA POPULAR DOLMEN DE DOMBATE 10K,DOMBATE 10K,"Dombate, Borneiro, Cabana de Bergantiños, Bergantiños, A Coruña, Galicia, 15119, España",43.1870604,-8.9714237
I CARREIRA POPULAR FESTA DA AUGARDENTE DE PORTOMARIN,PORTOMARIN,"Portomarín, Lugo, Galicia, España",42.8161992,-7.6813922
I CARREIRA POPULAR MARUXAINA CONCELLO DE CERVO,CERVO,"Cervo, A Mariña Occidental, Lugo, Galicia, España",43.6489595,-7.4261324
I CARREIRA POPULAR SOLIDARIA CPR LA MILAGROSA LUGO,CPR LA MILAGROSA LUGO,,,
I CARREIRA POPULAR VILA DE MEIRA,MEIRA,"Meira, Lugo, Galicia, España",43.2200963,-7.2635727
I CARREIRA POPULAR VÍA NOVA 'CONCELLO DE BANDE' 2014,BANDE',"Bande, A Baixa Limia, Ourense, Galicia, España",42.0226108,-7.9477755
I CARREIRA SOLIDARIA DO CONCELLO DE OUTEIRO DE REI,REI,"Molins de Rei, Baix Llobregat, Barcelona, Catalunya, 08750, España",41.4138087,2.0159626
I CARREIRA TRAIL DO BRANCO LEXITIMO (PADERNE),BRANCO LEXITIMO,,,
I CARREIRA VIA VERDE,VIA VERDE,"Via verde, Urbanización Virgen Blanca, Jaén, Andalucía, España",37.7913602,-3.8167091
I CARREIRA “POPULAR” - VIGO,“POPULAR” - VIGO,"Banco Santander, Camiño da Fontevella, Aloques, Aviseiro, O Porriño, Vigo, Pontevedra, Galicia, 36400, España",42.1605946,-8.6195432
I CARRERA ATMOSFERA SPORT,ATMOSFERA SPORT,"Atmosfera Sport, 414, Ronda de Outeiro, Cidade Escolar, Labañou, A Coruña, Galicia, 15011, España",43.3733881,-8.4246972
I CARRERA BECERREA CONTRA EL CANCER. 10KM,BECERREA CONTRA EL CANCER. 10KM,,,
I CARRERA BECERREA CONTRA EL CANCER. 5KM,BECERREA CONTRA EL CANCER. 5KM,,,
I CARRERA COFEDAS FERRETERIAS SOLIDARIA DE 10KM Y I CARRERA OPTIMUS SOLIDARIA DE 5KM,5KM,"6.5km to Monreal, Calle San Pedro, Abintzao, Abínzano, Ibargoiti, Pirinioaurrea, Navarra, Navarra / Nafarroa, 31492, España",42.6654918,-1.4580485
I CARRERA DE LAS EMPRESAS (OURENSE),LAS EMPRESAS,"Las Empresas, Selaya, Cantabria, 39685, España",43.180494,-3.7657315
I CARRERA DE MONTAÑA GIJÓN TRAIL 2015,MONTAÑA GIJÓN,"Montana, 15, Calle Premio Real, L'Arena, Gijón / Xixón, Asturias / Asturies, 33202, España",43.5399552,-5.6525905
I CARRERA EMPRESAS GALICIA,EMPRESAS,"Centro de Innovación de empresas de Aragón, Parque Goya, Actur-Rey Fernando, Zaragoza, Aragón, España",41.6807688,-0.8857615
I CARRERA NOCTURNA CONCELLO DE FERROL 2012,FERROL,"Ferrol, A Coruña, Galicia, España",43.5113053,-8.2624767
"I CARRERA NOCTURNA DE NIGRÁN “PLAZAH2K""","NIGRÁN “PLAZAH2K""",,,
I CARRERA PEDESTRE CONCELLO DE CEE 10K,CEE 10K,"Cee, Fisterra, A Coruña, Galicia, 15270, España",42.9575581,-9.1917202
I CARRERA PEDESTRE CONCELLO DE CEE 5K,CEE 5K,"Cee, Fisterra, A Coruña, Galicia, 15270, España",42.9575581,-9.1917202
I CARRERA PEDESTRE CONCELLO DE CEE BENXAMIN-ALEVIN,CEE BENXAMIN-ALEVIN,,,
I CARRERA PEDESTRE CONCELLO DE CEE INFANTIL-CADETE,CEE INFANTIL-CADETE,,,
I CARRERA PEDESTRE CONCELLO DE ZAS 10K,ZAS 10K,"Zas, Negreira, A Barcala, A Coruña, Galicia, España",42.9139941,-8.7606503
I CARRERA PEDESTRE CONCELLO DE ZAS 5K,ZAS 5K,"Zas, Negreira, A Barcala, A Coruña, Galicia, España",42.9139941,-8.7606503
I CARRERA PEDESTRE CONCELLO DE ZAS MENORES,ZAS MENORES,,,
"I CARRERA POPULAR ""CULTIVANDO DEPORTE""","""CULTIVANDO DEPORTE""",,,
I CARRERA POPULAR 8KM AGONES 2014,8KM AGONES,"Agones, Pravia, Asturias / Asturies, 33120, España",43.4964228,-6.1203817
I CARRERA POPULAR CENTRO RICARDO BARO,CENTRO RICARDO BARO,,,
I CARRERA POPULAR CONTRA EL CANCER CORRE POR FERROL,CONTRA EL CANCER CORRE POR FERROL,,,
I CARRERA POPULAR DE LA GUARDIA CIVIL DE OURENSE “PILAR 2024”,OURENSE “PILAR,,,
I CARRERA POPULAR DOLMEN DE DOMBATE 10K,DOMBATE 10K,"Dombate, Borneiro, Cabana de Bergantiños, Bergantiños, A Coruña, Galicia, 15119, España",43.1870604,-8.9714237
I CARRERA POPULAR DOLMEN DE DOMBATE 6K,DOMBATE 6K,"Dombate, Borneiro, Cabana de Bergantiños, Bergantiños, A Coruña, Galicia, 15119, España",43.1870604,-8.9714237
I CARRERA POPULAR DOLMEN DE DOMBATE MENORES,DOMBATE MENORES,,,
I CARRERA POPULAR NOCTURNA CORRENDO POR VIGO,CORRENDO POR VIGO,,,
I CARRERA POPULAR SALUDABLE 3K & 10K HUCA “Muévete por la Salud”,SALUDABLE 3K & 10K HUCA “Muévete por la Salud”,,,
I CARRERA POPULAR VENTORRILLO 2013,VENTORRILLO,"Ventorrillo, Montouto, Santa Comba, O Xallas, A Coruña, Galicia, 15846, España",43.0388223,-8.7817845
I CARRERA POPULAR VENTORRILLO. MENORES 2013,VENTORRILLO. MENORES,,,
I CARRERA POPULAR VILLA DE SARRIA 10 KM 2013,SARRIA 10 KM,"Sarria, Zuia, Gorbeialdea, Araba / Álava, Euskadi, España",42.9654682,-2.8234485
I CARRERA SOLIDARIA 'KILOMETROS QUE AYUDAN','KILOMETROS QUE AYUDAN',,,
I CARRERA SOLIDARIA A FAVOR DE AFECTADOS POR CÁNCER HEMATOLÓGICO Y TRASPLANTADOS DE MÉDULA ÓSEA 2013,MÉDULA ÓSEA,"Asociación de Donantes de Médula Ósea de Burgos, Paseo de los Comendadores, Urbanización Mirador de las Huelgas, Las Huelgas, Distrito Oeste, Burgos, Castilla y León, 09003, España",42.3391699,-3.7211966
"I CARRERA SOLIDARIA DE LUGO “LA VIDA ES UNA CARRERA ,VEN A GANARLA”","LUGO “LA VIDA ES UNA ,VEN A GANARLA”",,,
I CARRERA SOLIDARIA DULCES LESSONS (GIJÓN),DULCES LESSONS,,,
I CARRERA SOLIDARIA FUNDACIÓN REAL MADRID OURENSE,FUNDACIÓN REAL MADRID OURENSE,,,
I CARRERA SOLIDARIA GT MOTIVE. PRUEBA ABSOLUTA,GT MOTIVE. PRUEBA ABSOLUTA,,,
I CARRERA SOLIDARIA GT MOTIVE. PRUEBAS BENJAMIN E INFANTIL,GT MOTIVE. PRUEBAS BENJAMIN E,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. ABSOLUTA,CORUÑA CORRE. I LOS ROSALES. ABSOLUTA,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. ALEVINES,CORUÑA CORRE. I LOS ROSALES. ALEVINES,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. BENJAMINES,CORUÑA CORRE. I LOS ROSALES. BENJAMINES,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. INFANTILES CADETES Y JUVENILES MUJERES,CORUÑA CORRE. I LOS ROSALES. INFANTILES CADETES Y JUVENILES MUJERES,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. INFANTILES Y CADETES HOMBRES,CORUÑA CORRE. I LOS ROSALES. INFANTILES Y CADETES HOMBRES,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. ABSOLUTA,CORUÑA CORRE. II NOVO MESOIRO. ABSOLUTA,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. ALEVIN,CORUÑA CORRE. II NOVO MESOIRO. ALEVIN,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. BENXAMIN,CORUÑA CORRE. II NOVO MESOIRO. BENXAMIN,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. INFANTIL Y CADETE,CORUÑA CORRE. II NOVO MESOIRO. Y CADETE,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. XUVENIL,CORUÑA CORRE. II NOVO MESOIRO. XUVENIL,,,
I CIRCUITO CP SAUDABLES CorreSAN. Cidade Da Cultura,Cultura,"Cultura, Higueruelas, La Serranía, València / Valencia, Comunitat Valenciana, 46162, España",39.7904328,-0.8623774
"I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ""As Pontes""","OBSTÁCULOS ENKIPRO ""As Pontes""",,,
"I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ""LAXE""","OBSTÁCULOS ENKIPRO ""LAXE""",,,
I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO A POBRA,OBSTÁCULOS ENKIPRO A POBRA,,,
I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ARTEIXO,OBSTÁCULOS ENKIPRO ARTEIXO,,,
I COMPETICION CIUDAD DE A CORUÑA MARCHA NORDICA,A CORUÑA MARCHA NORDICA,,,
I CORRENDO POR VIGO 2012,CORRENDO POR VIGO,,,
I CROSS COUNTRY CABANAS 2014,COUNTRY CABANAS,,,
I CROSS COUNTRY LUGO,COUNTRY LUGO,,,
I CROSS COUNTRY PONTEVEDRA,COUNTRY PONTEVEDRA,,,
I CROSS COUNTRY VILALBA 2014,COUNTRY VILALBA,,,
"I CROSS PONTE ROMANA. ""HOMENAXE A PALELAS""","PONTE ROMANA. ""HOMENAXE A PALELAS""",,,
I CTO. GALEGO DE AUGAS ABERTAS,AUGAS ABERTAS,,,
I Carreira 10 km Nocturna BurelaBonita,10 km BurelaBonita,,,
I Carreira da Ostra ARCADE - SOUTOMAIOR 2014,Ostra ARCADE - SOUTOMAIOR,,,
I Carrera Popular Matogrande,Matogrande,"Matogrande, A Coruña, Galicia, 15071, España",43.3410835,-8.4040766
I Carrera Solidaria Cafés Toscaf,Cafés Toscaf,,,
I DESAFÍO B/R BALMORI 2014,DESAFÍO B/R BALMORI,,,
I DESCENSO A NADO CONCELLO DE SALVATERRA DE MIÑO,MIÑO,"Miño, Betanzos, A Coruña, Galicia, España",43.3578653,-8.1792627
I DUATLON CONCELLO DE COSPEITO VILA DE MUIMENTA,MUIMENTA,"Muimenta, Carballeda de Avia, O Ribeiro, Ourense, Galicia, 32433, España",42.3303671,-8.1868455
I DÚATLON CROS CONCELLO DE SADA,SADA,"Sada, Zangozerria, Navarra, Navarra / Nafarroa, España",42.5871778,-1.3983063
I DÚATLON DE MORAÑA,MORAÑA,"Moraña, Caldas, Pontevedra, Galicia, España",42.5625535,-8.5851562
I Dúatlon Concello de Poio,Poio,"Poio, Pontevedra, Galicia, España",42.4419456,-8.6921884
I Dúatlon Concello de Riveira - Memorial Jesús e Vicente,Riveira - Jesús e Vicente,,,
I Dúatlon Cros Cerdedo-Cotobade,Dúatlon Cros Cerdedo-Cotobade,,,
I Dúatlon Torre dos Andrade Concello de Vilalba,Vilalba,"Vilalba, Terra Chá, Lugo, Galicia, España",43.3263225,-7.6946722
I Dúatlon Torre dos Andrade Concello de Vilalba Remudas,Vilalba Remudas,,,
I Dúatlon de estrada San Cibrao das Viñas,estrada San Cibrao das Viñas,"Estrada Ourense - Maceda, O Picouto, Pazos de San Clodio, San Cibrao das Viñas, Ourense, Galicia, 32900, España",42.3131904,-7.8252044
I EDICIÓN DA CARREIRA POPULAR DE TERNERA GALLEGA. ADULTOS,TERNERA GALLEGA. ADULTOS,,,
I EDICIÓN DA CARREIRA POPULAR DE TERNERA GALLEGA. NENOS,TERNERA GALLEGA. NENOS,,,
I GRAN FONDO BTT RUTAS DE OURENSE,OURENSE,"Ourense, Galicia, España",42.1939629,-7.537124
I LEGUA CIUDAD DE VALLADOLID 2013,VALLADOLID,"Valladolid, Castilla y León, España",41.6200024,-4.7259906
I LEGUA IRMANDIÑA (VIMIANZO),LEGUA IRMANDIÑA,,,
I MARCHA-CARRERA POR LA IGUALDAD CIUDAD DE PONTEVEDRA,PONTEVEDRA,"Pontevedra, Galicia, España",42.428065,-8.6041447
I MEDIA MARATON CIUDAD DE OVIEDO 2014,OVIEDO,"Oviedo, Asturias / Asturies, España",43.3533452,-5.8795096
I MEDIA MARATON SOLIDARIA ZONA ABERTA VILAGARCIA DE AROUSA 2012,AROUSA,"Arousa, 14,16,18, Rúa de Curros Enríquez, A Rosaleda, O Ensanche, Santiago de Compostela, Santiago, A Coruña, Galicia, 15702, España",42.875123,-8.5411348
I MEDIO MARATÓN CIDADE DE LUGO – DIARIO EL PROGRESO,LUGO – DIARIO EL PROGRESO,,,
I MILLA POPULAR URBANA CONCELLO DE LOURENZÁ,LOURENZÁ,"Lourenzá, A Mariña Central, Lugo, Galicia, España",43.459566,-7.2850512
I MILLA URBANA 40 ANIVERSARIO LUCUS,URBANA 40 ANIVERSARIO LUCUS,,,
I MIÑO RADIKAL (PROBA CON OBSTÁCULOS EN OURENSE),OURENSE),"Ourense, Galicia, España",42.1939629,-7.537124
I Marcha Cicloturista Concello de Lourenzá,Lourenzá,"Lourenzá, A Mariña Central, Lugo, Galicia, España",43.459566,-7.2850512
I Media Maratón de Ferrol La Departamental,Ferrol La Departamental,,,
I NIGHT TRAIL QUIROGA,QUIROGA,"Quiroga, Lugo, Galicia, España",42.4658264,-7.1849714
I OCR CHANTADA WOLF SURVIVAL RACE,OCR CHANTADA WOLF SURVIVAL,,,
I OKTOBERBIKE CAMPELO 2017,OKTOBERBIKE CAMPELO,,,
I RETO SUBE E BAIXA EXPOGRELO ABADIN,RETO SUBE E BAIXA EXPOGRELO ABADIN,,,
I RUTA BTT CAMPASPERO – CIRCUITO SPRINTERCHIP BTT SERIES – 1ª ETAPA.,CAMPASPERO – SPRINTERCHIP SERIES – 1ª ETAPA,,,
"I SAN SILVESTRE DE MOS ""PET FRIENDLY""","MOS ""PET FRIENDLY""",,,
I SANITAS MARCA RUNNING SERIES DE VIGO,VIGO,"Vigo, Pontevedra, Galicia, España",42.1986395,-8.727956
I SUBIDA A LAGOS DE COVADONGA,COVADONGA,"Cuadonga / Covadonga, Cangas de Onís, Asturias / Asturies, España",43.3042052,-5.0615406
I SUBIDA A MONTEALEGRE,A MONTEALEGRE,"A Granxa, Montealegre, Ourense, Galicia, 32971, España",42.3258032,-7.8385312
I TRAIL A FUME DE CAROZO 2023,CAROZO,"Carozo, Labrada, Abadín, Terra Chá, Lugo, Galicia, España",43.4072114,-7.486888
I TRAIL CONCELLO DE MAÑÓN,MAÑÓN,"Mañón, Ortegal, A Coruña, Galicia, España",43.6696235,-7.7250321
I TRAIL DE MONTAÑA LUCUS MOUNTAIN,MONTAÑA LUCUS MOUNTAIN,,,
I TRAIL DE PADERNE,PADERNE,"Paderne, Betanzos, A Coruña, Galicia, 15314, España",43.2961787,-8.1562189
I TRAIL DO NOCEDO,NOCEDO,"Nocedo, Os Blancos, A Limia, Ourense, Galicia, 32632, España",41.9888526,-7.7130652
I TRAIL DO ROMANICO,ROMANICO,"Puente Románico, Puente la Reina / Gares, Izarbeibar-Novenera, Navarra, Navarra / Nafarroa, 31100, España",42.6711221,-1.818795
I TRAIL DO XURÉS,XURÉS,"Parque Natural Baixa Limia-Serra do Xurés, A Limia, Ourense, Galicia, España",41.8824286,-7.8436759
I TRAIL ENCONTRO MONTE PINDO,ENCONTRO MONTE PINDO,,,
I TRAIL MOSTEIRO DE SOANDRES CONCELLO DA LARACHA,LARACHA,"A Laracha, Bergantiños, A Coruña, Galicia, 15145, España",43.2484663,-8.5816182
I TRAIL RIBEIRA SACRA (NOGUEIRA DE RAMUÍN),RAMUÍN),"Ramuín, Viñoás, Nogueira de Ramuín, Ourense, Galicia, 32448, España",42.433699,-7.7439844
I TRAIL TRANS SERRA DA GROBA,GROBA,"Groba, Golmar, A Laracha, Bergantiños, A Coruña, Galicia, 15145, España",43.2162311,-8.5719845
I TRAIL Y ANDAINA DE CELANOVA,CELANOVA,"Celanova, Terra da Celanova, Ourense, Galicia, España",42.1664426,-7.9611378
I TRAIL “RUTA DOS MUIÑOS” RIOTORTO 2023,“RUTA DOS MUIÑOS” RIOTORTO,,,
I TRAVESIA A NADO PLAYA DE MIÑO,MIÑO,"Miño, Betanzos, A Coruña, Galicia, España",43.3578653,-8.1792627
I TRAVESIA A NADO RIO LEREZ,A RIO LEREZ,"O Río Lérez, Posmarcos, A Pobra do Caramiñal, A Barbanza, A Coruña, Galicia, 15948, España",42.6156519,-8.9335932
I TRAVESÍA A NADO BALARÉS,A BALARÉS,"Balarés, Cospindo, Ponteceso, Bergantiños, A Coruña, Galicia, 15110, España",43.2447334,-8.9380422
I TRAVESÍA A NADO DO MIÑO CIDADE DE LUGO. 1500m,LUGO. 1500m,,,
I TRAVESÍA A NADO DO MIÑO CIDADE DE LUGO. 4000m,LUGO. 4000m,,,
I TRAVESÍA A NADO ENTRE CAMARIÑAS E MUXÍA POLOS ESQUECIDOS EN LESBOS,LESBOS,"Calle Isla de Lesbos, La Manga del Mar Menor, Rincón de San Ginés, Cartagena, Campo de Cartagena y Mar Menor, Región de Murcia, 30370, España",37.6511566,-0.7193782
I TRAVESÍA DO CANEIRO - CLUB FLUVIAL DE LUGO,LUGO,"Lugo, Galicia, España",43.0395266,-7.4567985
I TRIATLON SPRINT SOLIDARIO CONCELLO DE BOIRO,BOIRO,"Boiro, A Barbanza, A Coruña, Galicia, España",42.6673176,-8.894094
I TRITEA-ACUATLÓN POPULAR E INCLUSIVO -PONTEAREAS,TRITEA-ACUATLÓN E INCLUSIVO -PONTEAREAS,,,
I TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,MENORES “A FREIXA”-PONTEAREAS,,,
I Trail Monte Aloia,Monte Aloia,"Monte Aloia, Tui, O Baixo Miño, Pontevedra, Galicia, 36713, España",42.0818727,-8.6808268
I Triatlón Boamorte Bikes Sanxenxo,Boamorte Bikes Sanxenxo,,,
I Trivolta a Galicia,Trivolta a,,,
I Tríatlon Concello de Redondela,Redondela,"Redondela, Vigo, Pontevedra, Galicia, España",42.279914,-8.6163366
I Tríatlon Concello de Rianxo,Rianxo,"Rianxo, A Barbanza, A Coruña, Galicia, España",42.6909268,-8.7911951
I URBANCROSS GIJÓN 2013,URBANCROSS GIJÓN,,,
I Urban Trail Night Pontevedra 2017,Urban Pontevedra,"Urban, Rúa Ramiranes, Ramiráns, Aviseiro, O Porriño, Vigo, Pontevedra, Galicia, 36400, España",42.1648412,-8.6207564
I VOLTA A NADO ILLA DE TAMBO-CONCELLO DE POIO,POIO,"Poio, Pontevedra, Galicia, España",42.4419456,-8.6921884
I Vertiatlón Solidario de Baiona,Baiona,"Baiona, Vigo, Pontevedra, Galicia, España",42.0881275,-8.8485132
I Ácuatlon Concello de Poio,Poio,"Poio, Pontevedra, Galicia, España",42.4419456,-8.6921884
II 10 KM SAN ANDRES DEL RABANEDO 2012,10 KM SAN ANDRES DEL RABANEDO,"San Andrés del Rabanedo, León, Castilla y León, España",42.6112327,-5.6168662
II 10KM CIDADE UNIVERSITARIA - CUVI 2008,10KM UNIVERSITARIA - CUVI,,,
II BARBANTIA RODA 2013,BARBANTIA RODA,,,
II BTT CARREIRA SOLIDARIA A FAVOR DA LOITA DO CANCRO CONCELLO DE BOBORÁS (OURENSE),BOBORÁS,"Boborás, O Carballiño, Ourense, Galicia, 32514, España",42.4492271,-8.1685559
II BTT CONCELLO DE O PINO 2013,O PINO,"O Pino, Arzúa, A Coruña, Galicia, España",42.9454899,-8.3502207
II BTT MONTE CASTELO,MONTE CASTELO,"Monte Castelo, Lousame, Noia, A Coruña, Galicia, 15216, España",42.7307244,-8.8409796
II C-TRAIL BRIGANTIA AVENTURA,C-TRAIL BRIGANTIA AVENTURA,,,
II CAMPEONATO DE GALICIA POR EQUIPOS- II COPA XUNTA DE GALICIA MARCHA NORDICA,MARCHA NORDICA,"Circuito Marcha Nórdica, Avenida de la Cinta, Huelva, Comarca Metropolitana de Huelva, Huelva, Andalucía, 21005, España",37.2765833,-6.9404674
II CARREIRA 10K SALCEDA,10K SALCEDA,"Salceda, Polaciones, Cantabria, 39557, España",43.0799689,-4.458298
II CARREIRA 10K SALCEDA 1000m,10K SALCEDA 1000m,,,
II CARREIRA 10K SALCEDA 2500m Y 500m,10K SALCEDA 2500m Y 500m,,,
II CARREIRA DA MULLER VIVAS E VISIBLES (SARRIA),MULLER VIVAS E VISIBLES,,,
II CARREIRA DE MONTAÑA MONTES DE VIVEIRO 2012 OPEN,VIVEIRO,"Viveiro, A Mariña Occidental, Lugo, Galicia, España",43.6433582,-7.5957612
II CARREIRA DESAFÍO SANTANDER- ISLAS CÍES,DESAFÍO SANTANDER- ISLAS CÍES,,,
II CARREIRA DO CAMIÑO A MERCED-AS ACEAS” (SARRIA),CAMIÑO A MERCED-AS ACEAS”,,,
II CARREIRA DO COCIDO - LALIN 2012,COCIDO - LALIN,,,
II CARREIRA DÍA DO TRABALLADOR DE TOMIÑO,TOMIÑO,"Tomiño, O Baixo Miño, Pontevedra, Galicia, España",41.9960109,-8.731412
II CARREIRA INTERNACIONAL DE CALVOS 2014,CALVOS,"Calvos, Rus, Carballo, Bergantiños, A Coruña, Galicia, 15109, España",43.1395253,-8.6264815
II CARREIRA NOCTURNA ESTRADENSE 2013,ESTRADENSE,"Asesoría Estradense, 49, Rúa de Sar, O Campo do Amo, Picaños, Santiago de Compostela, Santiago, A Coruña, Galicia, 15702, España",42.873316,-8.5369038
II CARREIRA NOCTURNA MURUS LUCIS,MURUS LUCIS,,,
II CARREIRA NOCTURNA RINLO-RIBADEO,RINLO-RIBADEO,"Rinlo, Estrada Irún - Santiago, A Galera, A Devesa, Ribadeo, A Mariña Oriental, Lugo, Galicia, 27715, España",43.5496217,-7.1086549
II CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,PONTEDEUME,"Pontedeume, O Eume, A Coruña, Galicia, España",43.4007283,-8.1497914
II CARREIRA NOCTURNA “CONCELLO DE VIVEIRO” HOMENAXE ADRIAN BEN,VIVEIRO” HOMENAXE ADRIAN BEN,,,
II CARREIRA PEDESTRE CONCELLO DE VIMIANZO 2013 - 10KM,VIMIANZO,"Vimianzo, Terra de Soneira, A Coruña, Galicia, España",43.0944643,-9.0269133
II CARREIRA PEDESTRE CONCELLO DE VIMIANZO 2013 - XUVENIL-CADETE,VIMIANZO,"Vimianzo, Terra de Soneira, A Coruña, Galicia, España",43.0944643,-9.0269133
II CARREIRA PEDESTRE CONCELLO DE ZAS,ZAS,"Zas, Terra de Soneira, A Coruña, Galicia, España",43.085979,-8.9106669
II CARREIRA PEDESTRE DE DUMBRÍA,DUMBRÍA,"Dumbría, Fisterra, A Coruña, Galicia, España",42.9811586,-9.0838986
II CARREIRA PEDESTRE DE MUXÍA,MUXÍA,"Muxía, Fisterra, A Coruña, Galicia, España",43.0654819,-9.177681
II CARREIRA PEDESTRE DO CONCELLO DE MALPICA,MALPICA,"Malpica, Nájera, La Rioja, 26300, España",42.4186239,-2.7387266
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - GRAN PREMIO U.N.E.D,PEDESTRE MONTE PORREIRO,,,
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - GRAN PREMIO U.N.E.D. CCCP,PEDESTRE MONTE PORREIRO,,,
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - GRAN PREMIO U.N.E.D. COMPENSADA FEMENINA,PEDESTRE MONTE PORREIRO,,,
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - GRAN PREMIO U.N.E.D. COMPENSADA MASCULINA,PEDESTRE MONTE PORREIRO,,,
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - RESULTADO NO OFICIAL,PEDESTRE MONTE PORREIRO,,,
II CARREIRA PONTENOITE 5+5 2014 10K,PONTENOITE 5+5,,,
II CARREIRA PONTENOITE 5+5 2014 5K,PONTENOITE 5+5,,,
II CARREIRA PONTENOITE 5+5 2014. CCCP,PONTENOITE 5+5,,,
II CARREIRA PONTENOITE 5+5 2014. COMPENSADA FEMENINA,PONTENOITE 5+5,,,
II CARREIRA PONTENOITE 5+5 2014. COMPENSADA MASCULINA,PONTENOITE 5+5,,,
"II CARREIRA POPULAR CARBALLEDO ""ENTRE CARBALLOS CENTENARIOS""","CARBALLEDO ""ENTRE CARBALLOS CENTENARIOS""",,,
II CARREIRA POPULAR CONCELLO DE FISTERRA,FISTERRA,"Fisterra, A Coruña, Galicia, España",42.9286659,-9.2626624
II CARREIRA POPULAR CONCELLO DE FRIOL,FRIOL,"Friol, Lugo, Galicia, España",43.0340365,-7.8036448
II CARREIRA POPULAR CONCELLO DE GUNTÍN 2025,GUNTÍN,"Guntín, Lugo, Galicia, 27234, España",42.900644,-7.6583307
II CARREIRA POPULAR CONCELLO DE MONTERROSO,MONTERROSO,"Monterroso, A Ulloa, Lugo, Galicia, España",42.806684,-7.8168719
II CARREIRA POPULAR CONCELLO DE PARADELA 2023,PARADELA,"Paradela, Sarria, Lugo, Galicia, 27611, España",42.764594,-7.567601
II CARREIRA POPULAR CONDES DE ALBAREI – PAZO BAIÓN,ALBAREI – PAZO BAIÓN,,,
II CARREIRA POPULAR DE COMBARRO,COMBARRO,"Combarro, Poio, Pontevedra, Galicia, 36993, España",42.4317048,-8.7051951
II CARREIRA POPULAR DE TABOADA,TABOADA,"Taboada, Chantada, Lugo, Galicia, España",42.7204134,-7.7478417
II CARREIRA POPULAR DOLMEN DE DOMBATE - CABANA DE BERGANTIÑOS,BERGANTIÑOS,"Bergantiños, A Coruña, Galicia, España",43.2154559,-8.7389586
II CARREIRA POPULAR FESTA DA AUGARDENTE DE PORTOMARIN,PORTOMARIN,"Portomarín, Lugo, Galicia, España",42.8161992,-7.6813922
II CARREIRA POPULAR SOLIDARIA CPR LA MILAGROSA LUGO,CPR LA MILAGROSA LUGO,,,
II CARREIRA POPULAR VILA DE MEIRA,MEIRA,"Meira, Lugo, Galicia, España",43.2200963,-7.2635727
II CARREIRA POPULAR VÍA NOVA ``CONCELLO DE BANDE´´,BANDE´´,"Bande, A Baixa Limia, Ourense, Galicia, España",42.0226108,-7.9477755
II CARREIRA SOLIDARIA ABANCA NOCTURNA DAS FESTAS DE LALIN,LALIN,"Lalín, O Deza, Pontevedra, Galicia, España",42.6575058,-8.0943083
II CARREIRA SOLIDARIA DECIMAS NARON 2012,DECIMAS NARON,,,
II CARREIRA SOLIDARIA DO CONCELLO DE OUTEIRO DE REI,REI,"Molins de Rei, Baix Llobregat, Barcelona, Catalunya, 08750, España",41.4138087,2.0159626
II CARREIRA do ENTROIDO Concello de Vigo,Vigo,"Vigo, Pontevedra, Galicia, España",42.1986395,-8.727956
II CARRERA ATMOSFERA SPORT,ATMOSFERA SPORT,"Atmosfera Sport, 414, Ronda de Outeiro, Cidade Escolar, Labañou, A Coruña, Galicia, 15011, España",43.3733881,-8.4246972
