fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,categoria_genero,modalidad
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. NOCTURNA MONUMENTAL,2017-01-14,Sábado,0.0,road running,Infantil,19,41,,,,0,mixto,INFANTIL E CADETE
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. PASEO DE OMBREIRO,2017-04-09,Domingo,0.0,road running,Absoluta/General,130,409,Lugo,Lugo,Lugo,0,mixto,ADULTOS
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. PASEO DE OMBREIRO,2017-04-09,Domingo,0.0,road running,Absoluta/General,0,0,Lugo,Lugo,Lugo,0,mixto,ADULTOS [Compensada]
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. PASEO DE OMBREIRO,2017-04-09,Domingo,0.0,road running,Infantil,48,46,Lugo,Lugo,Lugo,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. PASEO DE OMBREIRO,2017-04-09,Domingo,0.0,road running,Infantil,9,20,Lugo,Lugo,Lugo,0,mixto,INFANTIL E CADETE
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL,2017-05-20,Sábado,0.0,road running,Absoluta/General,110,336,Cospeito,Terra Chá,Lugo,0,mixto,ADULTOS
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL,2017-05-20,Sábado,0.0,road running,Absoluta/General,0,0,Cospeito,Terra Chá,Lugo,0,mixto,ADULTOS [Compensada]
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL,2017-05-20,Sábado,0.0,road running,Infantil,38,37,Cospeito,Terra Chá,Lugo,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL,2017-05-20,Sábado,0.0,road running,Equipos,0,0,Cospeito,Terra Chá,Lugo,0,mixto,CONTRARELOXO POR EQUIPOS FEMININOS
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. RECINTO FEIRAL,2017-05-20,Sábado,0.0,road running,Equipos,0,0,Cospeito,Terra Chá,Lugo,0,mixto,CONTRARELOXO POR EQUIPOS MASCULINOS
