id,modalidad_raceresult,finisher_h,finisher_d,finisher_total,nombre_carrera,fecha_inicio,fecha_fin,tipo_deporte,distancias,ubicacion,region,pais,codigo_pais,lat,lon,url_evento,municipio,comarca,provincia
409643,Clasificación Coach,,,11,Sylex 2026,2026-07-04,2026-07-04,Carrera de fitness,,,,España,ES,40.091,-3.4646,https://my.raceresult.com/409643/,Colmenar de Oreja,,Comunidad de Madrid
410280,Resultados,,,165,XX Carrera Popular Ciudad de Quesada,2026-08-23,2026-08-23,Running,5K,Quesada,,España,ES,37.8468,-3.068,https://my.raceresult.com/410280/,Quesada,,Jaén
410443,Online - Spain|DEKA FIT Teams,,,1014,DEKA MADRID 2026,2026-07-18,2026-07-19,Otros,,Madrid,,España,ES,40.4128,-3.7337,https://my.raceresult.com/410443/,Madrid,,Comunidad de Madrid
410443,Online - Spain|DEKA MILE Teams,,,149,DEKA MADRID 2026,2026-07-18,2026-07-19,Otros,,Madrid,,España,ES,40.4128,-3.7337,https://my.raceresult.com/410443/,Madrid,,Comunidad de Madrid
410757,CLT. PROVISIONALES M. FINAL,,,136,XIII DHU VILLA DE SARRIA 2026,2026-07-12,2026-07-12,Bicicleta de montaña,,SARRIA,,España,ES,42.7813,-7.4139,https://my.raceresult.com/410757/,Sarria,Sarria,Lugo
410757,CLT. PROVISIONALES M. FINAL- UCI,76.0,3.0,79,XIII DHU VILLA DE SARRIA 2026,2026-07-12,2026-07-12,Bicicleta de montaña,,SARRIA,,España,ES,42.7813,-7.4139,https://my.raceresult.com/410757/,Sarria,Sarria,Lugo
411556,En línea|En vivo,,,79,Masdache Run 2026,2026-07-19,2026-07-19,Running,5K,Tias,,España,ES,28.9201,-13.6596,https://my.raceresult.com/411556/,Tías,,Las Palmas
411799,CLT. PROVISIONALES M. FINAL,,,97,III MINIDH ENDURRAZO 2026,2026-07-19,2026-07-19,Bicicleta de montaña,,MOAÑA,,España,ES,42.2849,-8.7822,https://my.raceresult.com/411799/,Cangas de Morrazo,Morrazo,Pontevedra
411928,Resultados Relevos,,,24,XVI TRAVESÍA A NADO COSTA SERENA-GRAN PREMIO CONCELLO DE NIGRÁN,2026-07-19,2026-07-19,Natación,,Vigo,,España,ES,42.1279,-8.8177,https://my.raceresult.com/411928/,Nigrán,Vigo,Pontevedra
412682,Team Adults,,,30,DEKA MILE: Xclusive FIT,2026-08-01,2026-08-02,Otros,,El Campello,,España,ES,39.716,-96.9997,https://my.raceresult.com/412682/,,Washington County,Kansas
415523,Clasificación General,,,48,Vertical Famara Total By European Sports Destination 2026,2026-08-13,2026-08-13,Running,,,,España,ES,40.091,-3.4646,https://my.raceresult.com/415523/,Colmenar de Oreja,,Comunidad de Madrid
418677,Team Adults,,,14,DEKA MILE: SIRONBOX,2026-09-05,2026-09-05,Otros,,FIGUERES ,,España,ES,39.716,-96.9997,https://my.raceresult.com/418677/,,Washington County,Kansas
418766,CLASIFICACION JUNIOR 1º,,,60,VIII CHALLENGE JUNIOR CARBALLO - Etapa 1 CRI,2026-08-28,2026-08-28,Ciclismo,,Carballo,,España,ES,43.2127,-8.6911,https://my.raceresult.com/418766/,Carballo,Bergantiños,La Coruña
418766,CLASIFICACION EQUIPOS,,,42,VIII CHALLENGE JUNIOR CARBALLO - Etapa 1 CRI,2026-08-28,2026-08-28,Ciclismo,,Carballo,,España,ES,43.2127,-8.6911,https://my.raceresult.com/418766/,Carballo,Bergantiños,La Coruña
418933,Team Adults,,,7,DEKA STRONG & MILE: Box Akyles,2026-09-06,2026-09-06,Otros,,Torre del Mar,,España,ES,39.716,-96.9997,https://my.raceresult.com/418933/,,Washington County,Kansas
419334,CLASIFICACION CATEGORIAS,,,92,COPA ESPAÑA PUMPTRACK MAESE OURENSE,2026-08-30,2026-08-30,Bicicleta de montaña,,OURENSE,,España,ES,42.1388,-8.1583,https://my.raceresult.com/419334/,Padrenda,Tierra de Celanova,Ourense
420299,Etapa 1 CICLISTAS VOLTA,93.0,7.0,100,VOLTA GALICIA BTT 2026,2026-09-03,2026-09-06,Bicicleta de montaña,,Lalín,,España,ES,42.6615,-8.1122,https://my.raceresult.com/420299/,Lalín,Deza,Pontevedra
97872,Clasificación general,141.0,84.0,225,Ironkids Lanzarote 2018,2018-05-25,2018-05-25,Triatlón,,Puerto del Carmen,,España,ES,28.9197,-13.6507,https://my.raceresult.com/97872/,Tías,,Las Palmas
