fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,evento_ref,resultado_ref,nombre_evento,nombre_prueba,distancia_m
cronorunner,XXXIX VOLTA A PEU SANT ONOFRE D'ALGEMESÍ (Alevin (2013-2014)),2024-06-01,Sábado,1.0,road running,Infantil,14.0,13.0,Algemesí,València / Valencia,Comunitat Valenciana,301-1849,301-1849-2916,XXXIX VOLTA A PEU SANT ONOFRE D'ALGEMESÍ,Alevin (2013-2014),1000
cronorunner,XXXIX VOLTA A PEU SANT ONOFRE D'ALGEMESÍ (Infantil (2011-2012)),2024-06-01,Sábado,1.5,road running,Infantil,7.0,8.0,Algemesí,València / Valencia,Comunitat Valenciana,301-1849,301-1849-2917,XXXIX VOLTA A PEU SANT ONOFRE D'ALGEMESÍ,Infantil (2011-2012),1500
cronorunner,XXXIX VOLTA A PEU SANT ONOFRE D'ALGEMESÍ (Cadet (2007-2010)),2024-06-01,Sábado,1.5,road running,Infantil,5.0,8.0,Algemesí,València / Valencia,Comunitat Valenciana,301-1849,301-1849-2918,XXXIX VOLTA A PEU SANT ONOFRE D'ALGEMESÍ,Cadet (2007-2010),1500
cronorunner,XXXIX VOLTA A PEU SANT ONOFRE D'ALGEMESÍ (10k),2024-06-01,Sábado,10.0,road running,Absoluta/General,109.0,432.0,Algemesí,València / Valencia,Comunitat Valenciana,301-1849,301-1849-2756,XXXIX VOLTA A PEU SANT ONOFRE D'ALGEMESÍ,10k,10000
cronorunner,II 5k POBLA DE FARNALS (Chupetin (2019-2022)),2024-06-01,Sábado,0.1,road running,Infantil,,,la Pobla de Farnals,l'Horta Nord,Comunitat Valenciana,629-1887,629-1887-2893,II 5k POBLA DE FARNALS,Chupetin (2019-2022),100
cronorunner,II 5k POBLA DE FARNALS (Prebenjamin (2017-2018)),2024-06-01,Sábado,0.25,road running,Infantil,,,la Pobla de Farnals,l'Horta Nord,Comunitat Valenciana,629-1887,629-1887-2894,II 5k POBLA DE FARNALS,Prebenjamin (2017-2018),250
cronorunner,II 5k POBLA DE FARNALS (Benjamin (2015-2016)),2024-06-01,Sábado,0.5,road running,Infantil,,,la Pobla de Farnals,l'Horta Nord,Comunitat Valenciana,629-1887,629-1887-2895,II 5k POBLA DE FARNALS,Benjamin (2015-2016),500
cronorunner,II 5k POBLA DE FARNALS (Alevin (2013-2014)),2024-06-01,Sábado,0.75,road running,Infantil,,,la Pobla de Farnals,l'Horta Nord,Comunitat Valenciana,629-1887,629-1887-2896,II 5k POBLA DE FARNALS,Alevin (2013-2014),750
cronorunner,II 5k POBLA DE FARNALS (Infantil (2011-2012)),2024-06-01,Sábado,1.0,road running,Infantil,,,la Pobla de Farnals,l'Horta Nord,Comunitat Valenciana,629-1887,629-1887-2897,II 5k POBLA DE FARNALS,Infantil (2011-2012),1000
cronorunner,II 5k POBLA DE FARNALS (5km),2024-06-01,Sábado,5.0,road running,Absoluta/General,176.0,398.0,la Pobla de Farnals,l'Horta Nord,Comunitat Valenciana,629-1887,629-1887-2793,II 5k POBLA DE FARNALS,5km,5000
cronorunner,II 5k POBLA DE FARNALS (5K MENORES),2024-06-01,Sábado,5.0,road running,Infantil,18.0,13.0,la Pobla de Farnals,l'Horta Nord,Comunitat Valenciana,629-1887,629-1887-2951,II 5k POBLA DE FARNALS,5K MENORES,5000
cronorunner,XXXVI VOLTA A PEU FIBRA VALENCIA VILA D'ALAQUAS (Volta 10k),2024-06-01,Sábado,10.0,road running,Absoluta/General,42.0,162.0,Alaquàs,l'Horta Sud,Comunitat Valenciana,323-1913,323-1913-2890,XXXVI VOLTA A PEU FIBRA VALENCIA VILA D'ALAQUAS,Volta 10k,10000
cronorunner,XXXVI VOLTA A PEU FIBRA VALENCIA VILA D'ALAQUAS (Volteta 5k),2024-06-01,Sábado,5.0,road running,Absoluta/General,44.0,80.0,Alaquàs,l'Horta Sud,Comunitat Valenciana,323-1913,323-1913-2891,XXXVI VOLTA A PEU FIBRA VALENCIA VILA D'ALAQUAS,Volteta 5k,5000
cronorunner,I EAACI Walk & Run (10k),2024-06-01,Sábado,10.0,road running,Absoluta/General,30.0,48.0,València,Comarca de València,Comunitat Valenciana,651-1955,651-1955-2927,I EAACI Walk & Run,10k,10000
cronorunner,I EAACI Walk & Run (5k),2024-06-01,Sábado,5.0,road running,Absoluta/General,0.0,101.0,València,Comarca de València,Comunitat Valenciana,651-1955,651-1955-2928,I EAACI Walk & Run,5k,5000
cronorunner,"I EAACI Walk & Run (Marcha 2,5k)",2024-06-01,Sábado,2.5,marcha,Absoluta/General,,,València,Comarca de València,Comunitat Valenciana,651-1955,651-1955-2929,I EAACI Walk & Run,"Marcha 2,5k",2500
cronorunner,XXXI VOLTA A PEU BENETÚSSER,2024-05-26,Domingo,10.0,road running,Absoluta/General,63.0,258.0,Benetússer,l'Horta Sud,Comunitat Valenciana,443-1912,443-1912-2861,XXXI VOLTA A PEU BENETÚSSER,10k,10000
cronorunner,XVIII MITJA MARATÓ CIUTAT DE TORRENT (Carrera absoluta),2024-05-26,Domingo,0.0,road running,Absoluta/General,,,Torrent,l'Horta Sud,Comunitat Valenciana,567-1941,567-1941-3611,XVIII MITJA MARATÓ CIUTAT DE TORRENT,Carrera absoluta,0
cronorunner,XVIII MITJA MARATÓ CIUTAT DE TORRENT (Mitja Marató),2024-05-26,Domingo,21.097,road running,Absoluta/General,47.0,275.0,Torrent,l'Horta Sud,Comunitat Valenciana,567-1941,567-1941-2860,XVIII MITJA MARATÓ CIUTAT DE TORRENT,Mitja Marató,21097
cronorunner,VII 10MILPASSOS KANGURS BENIFAIÓ (Compro camiseta (NO CORRO)),2024-05-25,Sábado,0.0,road running,Absoluta/General,,,Benifaió,València / Valencia,Comunitat Valenciana,311-1872,311-1872-2926,VII 10MILPASSOS KANGURS BENIFAIÓ,Compro camiseta (NO CORRO),0
cronorunner,VII 10MILPASSOS KANGURS BENIFAIÓ (Prebenjamí (Sub8)),2024-05-25,Sábado,0.3,road running,Infantil,,,Benifaió,València / Valencia,Comunitat Valenciana,311-1872,311-1872-2907,VII 10MILPASSOS KANGURS BENIFAIÓ,Prebenjamí (Sub8),300
cronorunner,VII 10MILPASSOS KANGURS BENIFAIÓ (Benjamí (Sub10)),2024-05-25,Sábado,0.5,road running,Infantil,,,Benifaió,València / Valencia,Comunitat Valenciana,311-1872,311-1872-2908,VII 10MILPASSOS KANGURS BENIFAIÓ,Benjamí (Sub10),500
cronorunner,VII 10MILPASSOS KANGURS BENIFAIÓ (Aleví (Sub12)),2024-05-25,Sábado,1.0,road running,Absoluta/General,,,Benifaió,València / Valencia,Comunitat Valenciana,311-1872,311-1872-2909,VII 10MILPASSOS KANGURS BENIFAIÓ,Aleví (Sub12),1000
cronorunner,VII 10MILPASSOS KANGURS BENIFAIÓ (Infantil (Sub14)),2024-05-25,Sábado,1.5,road running,Infantil,,,Benifaió,València / Valencia,Comunitat Valenciana,311-1872,311-1872-2910,VII 10MILPASSOS KANGURS BENIFAIÓ,Infantil (Sub14),1500
