event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,classificat_sexe_desconegut,DNF_h,DNF_d,DNF_total,DSQ_h,DSQ_d,DSQ_total,DNS_h,DNS_d,DNS_total,estat_desconegut_h,estat_desconegut_d,estat_desconegut_sexe_desconegut,esport
1369,"XI TRIATLÓN ""VILLA DEL AGUA""",2021-08-01,Marmolejo (Jaén),Sprint,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/GENERAL_F_l5Jsr9s.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triatlon
1370,"III TRIATLÓN DE MENORES ""CIUDAD DE BAZA""",2021-08-01,Baza (Granada),Menores,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/JUVENIL_-_F_cbs6Np8.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triatlon
1353,CONVIVENCIA CRONOESCALADA HIRMES,2021-07-25,Berja (Almería),Cronoescalada,4043,ok,,38,31,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,Cronoescalada
1321,I MARCHA CICLODEPORTIVA ''LA IMPENSABLE'',2021-07-24,Tabernas (Almería),100 O 25 Km,4039,ok,,36,35,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcha ciclodeportiva
1352,I RUTA NOCTURNA BTT 'DESIERTO DE TABERNAS',2021-07-24,Tabernas (Almería),BTT Nocturna,4041,ok,,48,46,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,BTT
1319,TURRE - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-07-17,Turre (Almería),"9,5K",4038,ok,,169,138,31,169,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1342,TRAVESÍA A NADO ALMERIMAR 2021,2021-07-11,"Ejido, El (Almería)",750 y 1500,4036,ok,,89,61,28,89,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesia a Nado
1318,CUEVAS DEL ALMANZORA - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-07-10,Cuevas del Almanzora (Almería),"6,9K",4035,ok,,214,177,37,214,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1330,1ª CARRERA NOCTURNA CONTRA LAS ADICCIONES,2021-07-08,Baza (Granada),5K,4034,ok,,99,75,24,99,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1261,"XXXII PRUEBA DE FONDO ""RÍO DILAR""",2021-07-04,Otura (Granada),10 Km,4294,ok,,203,171,32,203,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1332,XI MEDIA MARATON CALAR ALTO,2021-07-04,Gérgal (Almería),21 Km,4031,ok,,351,295,56,351,0,0,0,0,0,0,0,0,0,0,0,0,0,CxM
1270,"XII PRUEBA DE FONDO ""DEL CORDERO SEGUREÑO""",2021-06-27,Huéscar (Granada),"10,5 Km",4021,ok,,187,146,41,187,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1306,I CARRERA VIRTUAL ''VILLA DE TORREDELCAMPO'',2021-06-27,Cualquier lugar del mundo (Cualquier lugar del mundo),5K o 10K ciclismo,4026,ok,,11,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Varias
1312,"MARATÓN BTT SIERRA DE GÁDOR ""LA INDOMABLE"" 2021",2021-06-27,Berja (Almería),105 o 47 Km,4022,ok,,291,278,13,291,0,0,0,0,0,0,0,0,0,0,0,0,0,BTT
