fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,comunidad_autonoma
sportmaniacs,II Liga Canicross Extremadura - Don Benito,2020-01-19,Domingo,0.0,Otros,Absoluta/General,5.0,13.0,Don Benito,,Badajoz,
sportmaniacs,II Liga Canicross Extremadura - Don Benito,2020-01-19,Domingo,0.0,Otros,Absoluta/General,1.0,2.0,Don Benito,,Badajoz,
sportmaniacs,TRAIL LES USERES - Pujada al Castellet 2020,2020-02-23,Domingo,20.0,road running,Absoluta/General,0.0,254.0,Borriol,la Plana Alta,Castellón,
sportmaniacs,TRAIL LES USERES - Pujada al Castellet 2020,2020-02-23,Domingo,12.0,marcha,Absoluta/General,0.0,169.0,Borriol,la Plana Alta,Castellón,
sportmaniacs,IX DESAFÍO URBANO SAN BLAS EN CAMBIL,2020-02-01,Sábado,0.0,road running,Infantil,27.0,41.0,Cambil,,Jaén,
sportmaniacs,IX DESAFÍO URBANO SAN BLAS EN CAMBIL,2020-02-01,Sábado,0.0,Otros,Infantil,10.0,15.0,Cambil,,Jaén,
sportmaniacs,IX DESAFÍO URBANO SAN BLAS EN CAMBIL,2020-02-01,Sábado,0.0,road running,Infantil,38.0,45.0,Cambil,,Jaén,
sportmaniacs,IX DESAFÍO URBANO SAN BLAS EN CAMBIL,2020-02-01,Sábado,0.0,road running,Infantil,45.0,62.0,Cambil,,Jaén,
sportmaniacs,IX DESAFÍO URBANO SAN BLAS EN CAMBIL,2020-02-01,Sábado,0.0,road running,Absoluta/General,84.0,172.0,Cambil,,Jaén,
sportmaniacs,XXIII CARRERA DEL TURRON-ARROYO DE LA ENCOMIENDA,2019-12-22,Domingo,5.0,road running,Absoluta/General,133.0,187.0,Arroyo de la Encomienda,,Valladolid,
sportmaniacs,XXIII CARRERA DEL TURRON-ARROYO DE LA ENCOMIENDA,2019-12-22,Domingo,10.0,road running,Absoluta/General,88.0,431.0,Arroyo de la Encomienda,,Valladolid,
sportmaniacs,IV TRAIL XIO LLUTXENT/MARXA SENDERISTA XIO LLUTXENT,2020-02-09,Domingo,0.0,trail running,Absoluta/General,42.0,181.0,Llutxent,,Valencia,
sportmaniacs,IV TRAIL XIO LLUTXENT/MARXA SENDERISTA XIO LLUTXENT,2020-02-09,Domingo,0.0,marcha,Absoluta/General,136.0,118.0,Llutxent,,Valencia,
sportmaniacs,XVI Carrera de Navidad de Cercedilla,2019-12-22,Domingo,13.0,road running,Absoluta/General,296.0,1075.0,Cercedilla,,,Comunidad de Madrid
sportmaniacs,IV RUN FOZ RUN NADAL 2019,2019-12-22,Domingo,5.0,road running,Absoluta/General,35.0,109.0,Foz,A Mariña Central,Lugo,
sportmaniacs,ISLA RACE 2021,2021-11-07,Domingo,0.0,Otros,Absoluta/General,2.0,4.0,Calvià,Serra de Tramuntana,Baleares (Illes),
sportmaniacs,ISLA RACE 2021,2021-11-07,Domingo,0.0,Otros,Absoluta/General,0.0,7.0,Calvià,Serra de Tramuntana,Baleares (Illes),
sportmaniacs,ISLA RACE 2021,2021-11-07,Domingo,12.0,road running,Absoluta/General,46.0,131.0,Calvià,Serra de Tramuntana,Baleares (Illes),
sportmaniacs,ISLA RACE 2021,2021-11-07,Domingo,6.0,road running,Absoluta/General,83.0,116.0,Calvià,Serra de Tramuntana,Baleares (Illes),
sportmaniacs,XXX CARRERA POPULAR SAN BLAS,2020-01-26,Domingo,0.0,road running,Absoluta/General,42.0,169.0,Yébenes (Los),,Toledo,
sportmaniacs,I San Silvestre Caballero Negro,2019-12-29,Domingo,0.0,road running,Absoluta/General,56.0,139.0,Arroyomolinos,,,Comunidad de Madrid
sportmaniacs,I San Silvestre Caballero Negro,2019-12-29,Domingo,0.0,Ciclismo y btt,Absoluta/General,29.0,485.0,Arroyomolinos,,,Comunidad de Madrid
sportmaniacs,III HU-108 BTT,2021-05-15,Sábado,92.0,road running,Absoluta/General,0.0,15.0,Huesca,Hoya de Huesca / Plana de Uesca,Huesca,
sportmaniacs,III HU-108 BTT,2021-05-15,Sábado,0.0,Ciclismo y btt,Absoluta/General,0.0,1.0,Huesca,Hoya de Huesca / Plana de Uesca,Huesca,
sportmaniacs,III HU-108 BTT,2021-05-15,Sábado,92.0,Ciclismo y btt,Absoluta/General,0.0,1.0,Huesca,Hoya de Huesca / Plana de Uesca,Huesca,
sportmaniacs,III HU-108 BTT,2021-05-15,Sábado,0.0,Ciclismo y btt,Absoluta/General,1.0,3.0,Huesca,Hoya de Huesca / Plana de Uesca,Huesca,
sportmaniacs,III HU-108 BTT,2021-05-15,Sábado,0.0,Ciclismo y btt,Absoluta/General,5.0,92.0,Huesca,Hoya de Huesca / Plana de Uesca,Huesca,
sportmaniacs,III HU-108 BTT,2021-05-15,Sábado,0.0,Ciclismo y btt,Absoluta/General,10.0,123.0,Huesca,Hoya de Huesca / Plana de Uesca,Huesca,
sportmaniacs,X TRAIL TALAIA K20,2020-02-08,Sábado,0.0,trail running,Absoluta/General,28.0,144.0,Alcúdia,Raiguer,Baleares (Illes),
sportmaniacs,SwimRun Series Maspalomas Gran Canaria 2020,2020-11-22,Domingo,0.0,Multidisciplina,Absoluta/General,32.0,81.0,San Bartolomé,,Las Palmas,
sportmaniacs,SwimRun Series Maspalomas Gran Canaria 2020,2020-11-22,Domingo,0.0,Multidisciplina,Absoluta/General,15.0,45.0,San Bartolomé,,Las Palmas,
sportmaniacs,XXV Herri Krosa Etxebarri,2020-03-08,Domingo,0.0,road running,Absoluta/General,22.0,34.0,Etxebarri,,Vizcaya,
sportmaniacs,XXV Herri Krosa Etxebarri,2020-03-08,Domingo,0.0,Otros,Absoluta/General,76.0,304.0,Etxebarri,,Vizcaya,
sportmaniacs,CxM Ciutat de Palma 2020,2020-02-16,Domingo,19.0,road running,Absoluta/General,49.0,174.0,Palma,Palma,Baleares (Illes),
sportmaniacs,CxM Ciutat de Palma 2020,2020-02-16,Domingo,14.0,road running,Absoluta/General,25.0,97.0,Palma,Palma,Baleares (Illes),
sportmaniacs,4ª SwimRun Series - Fuerteventura 2020,2020-10-17,Sábado,0.0,Multidisciplina,Absoluta/General,14.0,44.0,Pájara,,Las Palmas,
sportmaniacs,4ª SwimRun Series - Fuerteventura 2020,2020-10-17,Sábado,0.0,Multidisciplina,Absoluta/General,10.0,38.0,Pájara,,Las Palmas,
sportmaniacs,EDP MEDIO MARATON DE SEVILLA 2020,2020-01-26,Domingo,21.097,road running,Absoluta/General,0.0,4.0,Sevilla,,Sevilla,
sportmaniacs,EDP MEDIO MARATON DE SEVILLA 2020,2020-01-26,Domingo,21.097,road running,Absoluta/General,2065.0,7410.0,Sevilla,,Sevilla,
sportmaniacs,1ª PROVA CANICRÒS BENICASSIM  2020,2020-01-25,Sábado,0.0,Otros,Absoluta/General,24.0,42.0,Benicasim,la Plana Alta,Castellón,
sportmaniacs,DUATLON SPRINT Y DUATLON DE MENORES DE FUENTEMOLINOS,2020-03-07,Sábado,0.0,Multidisciplina,Infantil,8.0,67.0,Fuentemolinos,,Burgos,
sportmaniacs,DUATLON SPRINT Y DUATLON DE MENORES DE FUENTEMOLINOS,2020-03-07,Sábado,0.0,Multidisciplina,Infantil,21.0,23.0,Fuentemolinos,,Burgos,
sportmaniacs,VUELTA A PLAYA BLANCA HANDBIKE LANZAROTE,2020-02-15,Sábado,0.0,Otros,Otros,10.0,19.0,Yaiza,,Las Palmas,
sportmaniacs,VUELTA A PLAYA BLANCA HANDBIKE LANZAROTE,2020-02-15,Sábado,0.0,Otros,Otros,10.0,51.0,Yaiza,,Las Palmas,
sportmaniacs,VUELTA A PLAYA BLANCA HANDBIKE LANZAROTE,2020-02-15,Sábado,0.0,Otros,Otros,0.0,25.0,Yaiza,,Las Palmas,
sportmaniacs,CARRERA URBANA DE SAN ANTÓN INFANTIL A,2020-01-18,Sábado,0.0,road running,Infantil,567.0,785.0,Jaén,,Jaén,
sportmaniacs,DUATLON SPRINT DE STA. MARTA DE TORMES,2020-02-16,Domingo,0.0,Multidisciplina,Absoluta/General,29.0,83.0,Santa Marta de Tormes,,Salamanca,
sportmaniacs,XXII Carrera Popular Galapagos 3F,2020-01-26,Domingo,0.0,road running,Absoluta/General,2033.0,3980.0,Valencia,Comarca de València,Valencia,
sportmaniacs,V TRAIL SIERRA MARÍA ANDRÉS,2020-01-12,Domingo,0.0,trail running,Absoluta/General,5.0,82.0,Parra (La),,Badajoz,
sportmaniacs,V TRAIL SIERRA MARÍA ANDRÉS,2020-01-12,Domingo,0.0,trail running,Absoluta/General,19.0,92.0,Parra (La),,Badajoz,
sportmaniacs,CARRERA URBANA INTERNACIONAL NOCHE DE SAN ANTÓN ÉLITE,2020-01-18,Sábado,0.0,road running,Elite,10.0,26.0,Jaén,,Jaén,
sportmaniacs,CARRERA URBANA INTERNACIONAL NOCHE DE SAN ANTÓN ÉLITE,2020-01-18,Sábado,0.0,road running,Elite,149.0,632.0,Jaén,,Jaén,
sportmaniacs,test app roger,2020-01-12,Domingo,2.0,road running,Absoluta/General,0.0,2.0,Viladamat,Alt Empordà,Girona,
sportmaniacs,CROSS CONTIENDAS CLUB RAQUETA,2020-01-12,Domingo,6.5,road running,Absoluta/General,31.0,52.0,Valladolid,,Valladolid,
sportmaniacs,CROSS CONTIENDAS CLUB RAQUETA,2020-01-12,Domingo,13.0,road running,Absoluta/General,16.0,157.0,Valladolid,,Valladolid,
sportmaniacs,GRAN FONDO LA FALLA 2020,2020-09-26,Sábado,0.0,Ciclismo y btt,Absoluta/General,20.0,56.0,Vall de Boí (La),Alta Ribagorça,Lleida,
sportmaniacs,GRAN FONDO LA FALLA 2020,2020-09-26,Sábado,0.0,Ciclismo y btt,Absoluta/General,14.0,184.0,Vall de Boí (La),Alta Ribagorça,Lleida,
sportmaniacs,Foto Meetup 1,2020-01-13,Lunes,0.0,Otros,Absoluta/General,1.0,1.0,Valencia,Comarca de València,Valencia,
sportmaniacs,Foto Meetup 2,2020-01-13,Lunes,0.0,Otros,Absoluta/General,0.0,2.0,Valencia,Comarca de València,Valencia,
sportmaniacs,I Crono Bike Ciudad de Martos 2020,2020-02-02,Domingo,0.0,Ciclismo y btt,Absoluta/General,1.0,39.0,Martos,,Jaén,
sportmaniacs,rally de robledo,2020-01-12,Domingo,0.0,Otros,Absoluta/General,27.0,583.0,Robledo de Chavela,,,Comunidad de Madrid
sportmaniacs,rally de robledo,2020-01-12,Domingo,0.0,Otros,Absoluta/General,12.0,146.0,Robledo de Chavela,,,Comunidad de Madrid
sportmaniacs,Foto Meetup 3,2020-01-13,Lunes,0.0,Otros,Absoluta/General,1.0,1.0,Valencia,Comarca de València,Valencia,
sportmaniacs,Foto Meetup 4,2020-01-13,Lunes,0.0,Otros,Absoluta/General,1.0,1.0,Valencia,Comarca de València,Valencia,
sportmaniacs,Foto Meetup 5,2020-01-13,Lunes,0.0,Otros,Absoluta/General,0.0,2.0,Valencia,Comarca de València,Valencia,
sportmaniacs,Foto Meetup 6,2020-01-13,Lunes,0.0,Otros,Absoluta/General,0.0,2.0,Valencia,Comarca de València,Valencia,
