fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,anyo,mes,estacion,total_finishers,es_finde,municipio_norm,provincia_norm,provincia_ine,total_poblacion,poblacion_h,poblacion_d,es_carrera_popular,distancia_conocida
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,,Otros,Mayores/Veteranos,70.0,204.0,Ugao-Miraballes,,Bizkaia,2026,5,Primavera,274.0,True,UGAO-MIRABALLES,BIZKAIA,48.0,4210.0,2108.0,2102.0,False,False
buscametas,Lurretza Güeñes Skyrace,2026-04-19,Domingo,,trail running,Absoluta/General,25.0,132.0,Güeñes,,Bizkaia,2026,4,Primavera,157.0,True,GUENES,BIZKAIA,48.0,6815.0,3289.0,3526.0,False,False
buscametas,Lurretza Güeñes Skyrace,2026-04-19,Domingo,,trail running,Absoluta/General,20.0,76.0,Güeñes,,Bizkaia,2026,4,Primavera,96.0,True,GUENES,BIZKAIA,48.0,6815.0,3289.0,3526.0,False,False
buscametas,Subida a Estibaliz,2026-04-19,Domingo,15.0,road running,Absoluta/General,294.0,601.0,Armentia,Gasteizko kuadrilla,Álava,2026,4,Primavera,895.0,True,ARMENTIA,ALAVA,1.0,,,,False,True
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,,road running,Absoluta/General,0.0,0.0,Logroño,,La Rioja,2026,4,Primavera,0.0,True,LOGRONO,LA RIOJA,26.0,151681.0,71614.0,80067.0,False,False
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,5.0,road running,Absoluta/General,0.0,0.0,Logroño,,La Rioja,2026,4,Primavera,0.0,True,LOGRONO,LA RIOJA,26.0,151681.0,71614.0,80067.0,False,True
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,10.0,road running,Absoluta/General,0.0,0.0,Logroño,,La Rioja,2026,4,Primavera,0.0,True,LOGRONO,LA RIOJA,26.0,151681.0,71614.0,80067.0,False,True
buscametas,Trail Cabo de Ajo,2026-04-11,Sábado,,road running,Absoluta/General,58.0,258.0,Ajo,,Cantabria,2026,4,Primavera,316.0,True,AJO,CANTABRIA,39.0,,,,False,False
buscametas,Trail Cabo de Ajo,2026-04-11,Sábado,,marcha,Absoluta/General,157.0,166.0,Ajo,,Cantabria,2026,4,Primavera,323.0,True,AJO,CANTABRIA,39.0,,,,False,False
buscametas,UnderRun,2026-03-29,Domingo,8.0,road running,Absoluta/General,66.0,105.0,Bilbao,,Bizkaia,2026,3,Primavera,171.0,True,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,False,True
buscametas,UnderRun,2026-03-29,Domingo,10.0,road running,Absoluta/General,16.0,62.0,Bilbao,,Bizkaia,2026,3,Primavera,78.0,True,BILBAO,BIZKAIA,48.0,350975.0,167198.0,183777.0,False,True
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,60.0,trail running,Absoluta/General,9.0,89.0,Zaramillo,,Bizkaia,2026,3,Primavera,98.0,True,ZARAMILLO,BIZKAIA,48.0,,,,False,True
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,42.0,trail running,Absoluta/General,13.0,126.0,Zaramillo,,Bizkaia,2026,3,Primavera,139.0,True,ZARAMILLO,BIZKAIA,48.0,,,,False,True
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,30.0,trail running,Absoluta/General,17.0,104.0,Zaramillo,,Bizkaia,2026,3,Primavera,121.0,True,ZARAMILLO,BIZKAIA,48.0,,,,False,True
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,10.0,trail running,Absoluta/General,44.0,60.0,Zaramillo,,Bizkaia,2026,3,Primavera,104.0,True,ZARAMILLO,BIZKAIA,48.0,,,,False,True
buscametas,Amurrio Trail Lasterketa,2026-03-15,Domingo,,trail running,Absoluta/General,4.0,51.0,Amurrio,,Álava,2026,3,Primavera,55.0,True,AMURRIO,ALAVA,1.0,10346.0,5120.0,5226.0,False,False
buscametas,Amurrio Trail Lasterketa,2026-03-15,Domingo,,trail running,Absoluta/General,51.0,119.0,Amurrio,,Álava,2026,3,Primavera,170.0,True,AMURRIO,ALAVA,1.0,10346.0,5120.0,5226.0,False,False
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,26.0,trail running,Absoluta/General,8.0,52.0,Mungia,,Bizkaia,2026,3,Primavera,60.0,True,MUNGIA,BIZKAIA,48.0,18135.0,8812.0,9323.0,False,True
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,12.0,trail running,Absoluta/General,46.0,117.0,Mungia,,Bizkaia,2026,3,Primavera,163.0,True,MUNGIA,BIZKAIA,48.0,18135.0,8812.0,9323.0,False,True
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,7.0,trail running,Absoluta/General,22.0,37.0,Mungia,,Bizkaia,2026,3,Primavera,59.0,True,MUNGIA,BIZKAIA,48.0,18135.0,8812.0,9323.0,False,True
