fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,comunidad_autonoma,anyo,mes,estacion,total_finishers,es_finde,municipio_norm,provincia_norm,provincia_ine,anyo_cruce,total_poblacion,poblacion_h,poblacion_d,superficie_km2,densidad_poblacion,es_carrera_popular
buscametas,Lemoatx Trail,2025-11-16,Domingo,17.0,trail running,Absoluta/General,35.0,168.0,Lemoa,,Vizcaya,,2025,11,Otoño,203.0,True,LEMOA,VIZCAYA,48.0,2025,3611.0,1824.0,1787.0,15.4153,234.24779277730565,False
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,33.0,road running,Absoluta/General,23.0,175.0,Orduña,,Vizcaya,,2025,11,Otoño,198.0,True,ORDUNA,VIZCAYA,48.0,2025,4243.0,2187.0,2056.0,33.398,127.04353554105035,False
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,0.0,road running,Absoluta/General,0.0,0.0,Orduña,,Vizcaya,,2025,11,Otoño,0.0,True,ORDUNA,VIZCAYA,48.0,2025,4243.0,2187.0,2056.0,33.398,127.04353554105035,False
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,14.0,road running,Absoluta/General,50.0,111.0,Orduña,,Vizcaya,,2025,11,Otoño,161.0,True,ORDUNA,VIZCAYA,48.0,2025,4243.0,2187.0,2056.0,33.398,127.04353554105035,False
buscametas,BBK Mendi Martxak - Arrigorriaga-Basauri,2025-11-09,Domingo,16.0,marcha,Absoluta/General,117.0,138.0,Arrigorriaga-Basauri,,Vizcaya,,2025,11,Otoño,255.0,True,ARRIGORRIAGA-BASAURI,VIZCAYA,48.0,2025,,,,,,False
buscametas,La Conquista de la Almendra,2025-11-02,Domingo,10.0,road running,Absoluta/General,193.0,410.0,Vitoria,Gasteizko kuadrilla,Álava,,2025,11,Otoño,603.0,True,VITORIA,ALAVA,1.0,2025,,,,,,False
buscametas,La Conquista de la Almendra,2025-11-02,Domingo,5.0,road running,Absoluta/General,137.0,155.0,Vitoria,Gasteizko kuadrilla,Álava,,2025,11,Otoño,292.0,True,VITORIA,ALAVA,1.0,2025,,,,,,False
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,25.0,trail running,Absoluta/General,39.0,252.0,Balmaseda,,Vizcaya,,2025,11,Otoño,291.0,True,BALMASEDA,VIZCAYA,48.0,2025,7737.0,3728.0,4009.0,22.3736,345.8093467300747,False
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,12.0,trail running,Absoluta/General,47.0,122.0,Balmaseda,,Vizcaya,,2025,11,Otoño,169.0,True,BALMASEDA,VIZCAYA,48.0,2025,7737.0,3728.0,4009.0,22.3736,345.8093467300747,False
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,0.0,marcha,Absoluta/General,112.0,174.0,Balmaseda,,Vizcaya,,2025,11,Otoño,286.0,True,BALMASEDA,VIZCAYA,48.0,2025,7737.0,3728.0,4009.0,22.3736,345.8093467300747,False
buscametas,Record Kolitza Internacional,2025-11-01,Sábado,0.0,Otros,Absoluta/General,1.0,1.0,Balmaseda,,Vizcaya,,2025,11,Otoño,2.0,True,BALMASEDA,VIZCAYA,48.0,2025,7737.0,3728.0,4009.0,22.3736,345.8093467300747,False
buscametas,Record del Kolitza,2025-11-01,Sábado,0.0,Otros,Absoluta/General,4.0,40.0,Balmaseda,,Vizcaya,,2025,11,Otoño,44.0,True,BALMASEDA,VIZCAYA,48.0,2025,7737.0,3728.0,4009.0,22.3736,345.8093467300747,False
buscametas,Encuentro Interprovincial Escolar de CXM,2025-10-26,Domingo,0.0,Otros,Infantil,3.0,7.0,Alcalá la Real,,Jaén,,2025,10,Otoño,10.0,True,ALCALA LA REAL,JAEN,23.0,2025,21577.0,10650.0,10927.0,261.3437,82.56177592955177,False
