fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad
cronofinisher,XVII TRAVESIA SOLIDARIA PUNTA UMBRIA - BRAZADAS SOLIDARIAS,2019-08-24,Sábado,0.5,Otros,Absoluta/General,0,0,PUNTA UMBRIA,Comarca Metropolitana de Huelva,Huelva,25,316,500
cronofinisher,"II CROSS URBANO ""CIUDAD DE QUESADA""",2019-08-17,Sábado,0.0,road running,Infantil,0,0,QUESADA,,Jaén,15,308,CHUPETINES
cronofinisher,"II CROSS URBANO ""CIUDAD DE QUESADA""",2019-08-17,Sábado,0.0,road running,Infantil,5,10,QUESADA,,Jaén,7,308,BENJAMIN ALEVIN
cronofinisher,"II CROSS URBANO ""CIUDAD DE QUESADA""",2019-08-17,Sábado,0.0,road running,Infantil,0,0,QUESADA,,Jaén,15,308,INFANTIL CADETE
cronofinisher,"II CROSS URBANO ""CIUDAD DE QUESADA""",2019-08-17,Sábado,0.0,road running,Absoluta/General,0,0,QUESADA,,Jaén,64,308,ADULTOS
cronofinisher,XXIV CRONOESCALADA JABALCÓN 2019,2019-08-15,Jueves,0.0,Ciclismo y btt,Absoluta/General,0,0,ZUJAR,Comarca de Baza,Granada,76,307,GENERAL
cronofinisher,XXIV CRONOESCALADA JABALCÓN 2019,2019-08-15,Jueves,0.0,Ciclismo y btt,Absoluta/General,0,0,ZUJAR,Comarca de Baza,Granada,22,307,LOCALES
cronofinisher,V RUNNING NIGHT-TORUÑOS,2019-08-14,Miércoles,0.0,road running,Absoluta/General,0,0,EL PUERTO DE SANTA MARIA,Bahía de Cádiz,Andalucía,640,295,GENERAL
cronofinisher,VIII TRAVESÍA BRAZADAS SOLIDARIAS RINCÓN DE LA VICTORIA,2019-08-11,Domingo,0.0,Otros,Absoluta/General,0,0,RICON DE LA VICTORIA,,,70,313,RECORRIDO VIRGEN
cronofinisher,VIII TRAVESÍA BRAZADAS SOLIDARIAS RINCÓN DE LA VICTORIA,2019-08-11,Domingo,0.0,Otros,Absoluta/General,0,0,RICON DE LA VICTORIA,,,249,313,RECORRIDO ESTACIONES
cronofinisher,III CARRERA POPULAR VILLA DE JIMENA 2019,2019-08-10,Sábado,0.0,road running,Absoluta/General,0,0,JIMENA,,Jaén,102,317,GENERAL
cronofinisher,XTREME TESORILLO,2019-07-28,Domingo,0.0,road running,Elite,0,0,SAN MARTIN DEL TESORILLO,Campo de Gibraltar,Andalucía,25,273,ELITE
cronofinisher,XTREME TESORILLO,2019-07-28,Domingo,0.0,road running,Absoluta/General,0,0,SAN MARTIN DEL TESORILLO,Campo de Gibraltar,Andalucía,17,273,GRUPO EDAD
cronofinisher,XTREME TESORILLO,2019-07-28,Domingo,0.0,road running,Elite,0,0,SAN MARTIN DEL TESORILLO,Campo de Gibraltar,Andalucía,11,273,ELITE AMATEUR
cronofinisher,XTREME TESORILLO,2019-07-28,Domingo,0.0,road running,Absoluta/General,0,0,SAN MARTIN DEL TESORILLO,Campo de Gibraltar,Andalucía,136,273,POPULAR
cronofinisher,V TRAVESIA CHICLANA - BRAZADAS SOLIDARIAS,2019-07-14,Domingo,1.0,Otros,Absoluta/General,0,0,CHICLANA DE LA FRONTERA,Bahía de Cádiz,Andalucía,108,312,1000
cronofinisher,V TRAVESIA CHICLANA - BRAZADAS SOLIDARIAS,2019-07-14,Domingo,2.5,Otros,Absoluta/General,0,0,CHICLANA DE LA FRONTERA,Bahía de Cádiz,Andalucía,119,312,2500
cronofinisher,"XVII CARRERA ARROYO OJANCO NOCTURNA ""PARQUE DE SAN FRANCISCO""",2019-07-07,Domingo,0.0,road running,Absoluta/General,2,3,ARROYO OJANCO,,Jaén,59,302,ADULTOS
cronofinisher,"XVII CARRERA ARROYO OJANCO NOCTURNA ""PARQUE DE SAN FRANCISCO""",2019-07-07,Domingo,0.0,road running,Absoluta/General,0,0,ARROYO OJANCO,,Jaén,63,302,ADULTOS CON PUNTO INTERMEDIO
cronofinisher,XII RUTA DEL CALOR Y DEL LAGARTO - III GRAN PREMIO AYTOS-BERGER LEVRAULT,2019-06-23,Domingo,0.0,Ciclismo y btt,Absoluta/General,0,0,ECIJA,,Sevilla,65,275,CORTA - PUNTOS INTERMEDIOS
cronofinisher,XII RUTA DEL CALOR Y DEL LAGARTO - III GRAN PREMIO AYTOS-BERGER LEVRAULT,2019-06-23,Domingo,0.0,Ciclismo y btt,Absoluta/General,0,0,ECIJA,,Sevilla,15,275,CORTA- LOCALES
