event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,inscrits,DNF_total,DSQ_total,DNS_total,esport,classificat_sexe_desconegut
,X MARCHA NOCTURNA 2018 - CEUTA,2018-06-09,CEUTA,,,sense_resultats,,,,,,,,,,Travesía,
223,"XXXI MEMORIAL SARGENTO DE INFANTERIA DE MARINA ""CARMONA PÁEZ""",2018-06-09,SAN FERNANDO,GENERAL,general,ok,,1253,0,0,1253,,,,,Carrera,1253
190,MEDIA MARATON BOSQUES DEL SUR,2018-06-03,CAZORLA,MEDIA MARATON,mediamaraton,ok,,233,113,24,233,,,,,Carrera por montaña,96
190,MEDIA MARATON BOSQUES DEL SUR,2018-06-03,CAZORLA,LOCAL MEDIA MARATON,localmediamaraton,ok,,24,15,0,24,,,,,Carrera por montaña,9
217,MINITRAIL - BOSQUES DEL SUR 2018,2018-06-03,CAZORLA,MINITRAIL,minitrail,ok,,89,0,0,89,,,,,Carrera por montaña,89
225,XXVII CARRERA SAN FELIPE NERI,2018-06-02,CADIZ,PITUFOS,pitufos,ok,,129,0,0,129,,,,,Carrera,129
225,XXVII CARRERA SAN FELIPE NERI,2018-06-02,CADIZ,PREBENJAMIN,prebenjamin,ok,,111,0,0,111,,,,,Carrera,111
225,XXVII CARRERA SAN FELIPE NERI,2018-06-02,CADIZ,BENJAMIN ALEVN,benjaminalevn,ok,,140,0,0,140,,,,,Carrera,140
225,XXVII CARRERA SAN FELIPE NERI,2018-06-02,CADIZ,INFANTIL- VETERANO,infantilveterano,ok,,169,0,0,169,,,,,Carrera,169
200,MARATÓN TRAIL BOSQUES DEL SUR 2018,2018-06-02,CAZORLA,MARATON CON INTERMEDIOS,maratonconintermedios,ok,,278,0,0,278,,,,,Carrera por montaña,278
200,MARATÓN TRAIL BOSQUES DEL SUR 2018,2018-06-02,CAZORLA,EQUIPOS MARATON,equiposmaraton,ok,,21,0,0,21,,,,,Carrera por montaña,21
195,IV ULTRA TRAIL BOSQUES DEL SUR,2018-06-02,CAZORLA,ULTRA CON PUNTOS,ultraconpuntos,ok,,200,0,0,200,,,,,Carrera por montaña,200
195,IV ULTRA TRAIL BOSQUES DEL SUR,2018-06-02,CAZORLA,ULTRA,ultra,ok,,183,0,0,183,,,,,Carrera por montaña,183
195,IV ULTRA TRAIL BOSQUES DEL SUR,2018-06-02,CAZORLA,EQUIPOS ULTRA,equiposultra,ok,,15,0,0,15,,,,,Carrera por montaña,15
195,IV ULTRA TRAIL BOSQUES DEL SUR,2018-06-02,CAZORLA,LOCAL ULTRA,localultra,ok,,8,0,0,8,,,,,Carrera por montaña,8
218,"XVII MILLA URBANA ""CIUDAD DE ALGECIRAS"" MEMORIAL MANUEL ALARCON",2018-05-27,ALGECIRAS,BENJAMIN,benjamin,ok,,44,0,0,44,,,,,Carrera,44
218,"XVII MILLA URBANA ""CIUDAD DE ALGECIRAS"" MEMORIAL MANUEL ALARCON",2018-05-27,ALGECIRAS,ALEVIN,alevin,ok,,16,0,0,16,,,,,Carrera,16
218,"XVII MILLA URBANA ""CIUDAD DE ALGECIRAS"" MEMORIAL MANUEL ALARCON",2018-05-27,ALGECIRAS,INF - CAD,infcad,ok,,28,10,18,28,,,,,Carrera,0
218,"XVII MILLA URBANA ""CIUDAD DE ALGECIRAS"" MEMORIAL MANUEL ALARCON",2018-05-27,ALGECIRAS,JUV - VET,juvvet,ok,,71,53,18,71,,,,,Carrera,0
201,I TRIATLON SANLUCAR,2018-05-20,SANLUCAR DE BARRAMEDA,CON PARCIALES,conparciales,ok,,205,179,26,205,,,,,Triatlón,0
201,I TRIATLON SANLUCAR,2018-05-20,SANLUCAR DE BARRAMEDA,TODOS CON PARCIALES,todosconparciales,ok,,193,0,0,193,,,,,Triatlón,193
