fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconegut,id
buscametas,Apuko Igoera  Zaramillo Enkarterri,2026-02-22,Domingo,24.0,road running,Absoluta/General,50,285,Zaramillo,,Bizkaia,,86
buscametas,Pruebas Crono,2026-02-12,Jueves,30.0,road running,Absoluta/General,0,0,Zaramillo,,Bizkaia,,89
buscametas,Pruebas Crono,2026-02-12,Jueves,24.0,road running,Absoluta/General,0,0,Zaramillo,,Bizkaia,,88
buscametas,San Antontxuko Herri Krosa,2026-01-11,Domingo,10.0,road running,Absoluta/General,96,264,Mungia,,Bizkaia,,1215313487
buscametas,San Antontxuko Herri Krosa,2026-01-11,Domingo,5.0,road running,Absoluta/General,163,131,Mungia,,Bizkaia,,1215314366
buscametas,Bilbao Rekalde San Silvestre,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,1057,1703,Bilbao,,Bizkaia,,1215003715
buscametas,San Silvestre Sodupe,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,124,298,Sodupe,,Bizkaia,,1215108905
buscametas,San Silvestre de Vitoria-Gasteiz,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,1167,1355,Vitoria,Gasteizko kuadrilla,Álava,,1215184222
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,6,12,Bilbao,,Bizkaia,,1215196204
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,23,46,Bilbao,,Bizkaia,,1215197675
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,35,32,Bilbao,,Bizkaia,,1215200555
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,32,43,Bilbao,,Bizkaia,,1215201940
buscametas,San Silvestre Santurtzi,2025-12-31,Miércoles,7.0,road running,Absoluta/General,152,309,Santurtzi,,Bizkaia,,1223378376
buscametas,Muskiz 3 Milia,2025-12-20,Sábado,5.0,road running,Absoluta/General,190,240,Muskiz,,Bizkaia,,1223295696
buscametas,Zalla-Balma-Zalla,2025-12-14,Domingo,14.0,road running,Absoluta/General,62,221,Zalla,,Bizkaia,,1213639352
buscametas,La Media de Vitoria-Gasteiz,2025-12-14,Domingo,0.0,road running,Absoluta/General,730,2562,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,1213923778
buscametas,Soxoguti Erronka,2025-12-13,Sábado,0.0,road running,Absoluta/General,47,203,Artziniega,,Álava,,1213820284
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,0,0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,1223428473
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,1,7,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,1223429523
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,4,6,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,1223430655
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,4,1,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,1223431842
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,3,8,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,1223432425
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,3,2,Alcalá la Real,,Jaén,,79
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,7,12,Alcalá la Real,,Jaén,,80
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,7,14,Alcalá la Real,,Jaén,,81
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,11,12,Alcalá la Real,,Jaén,,82
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,5,9,Alcalá la Real,,Jaén,,83
buscametas,Lemoatx Trail,2025-11-16,Domingo,25.0,trail running,Absoluta/General,15,134,Lemoa,,Bizkaia,,1213093978
buscametas,Lemoatx Trail,2025-11-16,Domingo,17.0,trail running,Absoluta/General,35,168,Lemoa,,Bizkaia,,1213092528
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,33.0,road running,Absoluta/General,23,175,Orduña,,Bizkaia,,1212779242
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,0.0,road running,Absoluta/General,0,0,Orduña,,Bizkaia,43.0,78
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,14.0,road running,Absoluta/General,50,111,Orduña,,Bizkaia,,1212780150
buscametas,BBK Mendi Martxak - Arrigorriaga-Basauri,2025-11-09,Domingo,16.0,marcha,Absoluta/General,117,138,Arrigorriaga-Basauri,,Bizkaia,,1212848430
buscametas,La Conquista de la Almendra,2025-11-02,Domingo,10.0,road running,Absoluta/General,193,410,Vitoria,Gasteizko kuadrilla,Álava,,1212544909
buscametas,La Conquista de la Almendra,2025-11-02,Domingo,5.0,road running,Absoluta/General,137,155,Vitoria,Gasteizko kuadrilla,Álava,,1212545187
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,25.0,trail running,Absoluta/General,39,252,Balmaseda,,Bizkaia,,1212559564
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,12.0,trail running,Absoluta/General,47,122,Balmaseda,,Bizkaia,,1212562669
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,0.0,marcha,Absoluta/General,112,174,Balmaseda,,Bizkaia,,1212560577
buscametas,Record Kolitza Internacional,2025-11-01,Sábado,0.0,Otros,Absoluta/General,1,1,Balmaseda,,Bizkaia,,73
buscametas,Record del Kolitza,2025-11-01,Sábado,0.0,Otros,Absoluta/General,4,40,Balmaseda,,Bizkaia,,74
buscametas,Encuentro Interprovincial Escolar de CXM,2025-10-26,Domingo,0.0,Otros,Infantil,3,7,Alcalá la Real,,Jaén,,71
buscametas,Encuentro Interprovincial Escolar de CXM,2025-10-26,Domingo,0.0,Otros,Infantil,4,9,Alcalá la Real,,Jaén,,67
buscametas,Encuentro Interprovincial Escolar de CXM,2025-10-26,Domingo,0.0,Otros,Infantil,9,15,Alcalá la Real,,Jaén,,68
buscametas,Encuentro Interprovincial Escolar de CXM,2025-10-26,Domingo,0.0,Otros,Infantil,12,11,Alcalá la Real,,Jaén,,70
buscametas,Encuentro Interprovincial Escolar de CXM,2025-10-26,Domingo,0.0,Otros,Infantil,1,8,Alcalá la Real,,Jaén,,69
buscametas,Kopa Euskadi KB,2025-10-26,Domingo,0.0,Otros,Absoluta/General,5,14,Galdames,,Bizkaia,,72
buscametas,Vertical Pico la Cruz,2025-10-26,Domingo,0.0,trail running,Absoluta/General,12,62,Galdames,,Bizkaia,,1212269570
buscametas,Betagarri Trail,2025-10-25,Sábado,24.0,trail running,Absoluta/General,11,100,Ancín-Antzin,Estellerria,Navarra,,1212399515
buscametas,Betagarri Trail,2025-10-25,Sábado,15.0,trail running,Absoluta/General,41,115,Ancín-Antzin,Estellerria,Navarra,,1214215308
buscametas,Betagarri Trail,2025-10-25,Sábado,9.0,trail running,Absoluta/General,77,74,Ancín-Antzin,Estellerria,Navarra,,1212400681
buscametas,BBK Mendi Martxak - Mungia,2025-10-19,Domingo,0.0,marcha,Absoluta/General,158,192,Mungia,,Bizkaia,,1211986485
buscametas,Basajaun Trail Race,2025-10-18,Sábado,43.0,trail running,Absoluta/General,4,47,Galdeano,Estellerria,Navarra,,1211674159
buscametas,Basajaun Trail Race,2025-10-18,Sábado,23.0,trail running,Absoluta/General,26,141,Galdeano,Estellerria,Navarra,,1211675509
buscametas,Basajaun Trail Race,2025-10-18,Sábado,13.0,trail running,Absoluta/General,71,147,Galdeano,Estellerria,Navarra,,1211676111
buscametas,Galipa Swim,2025-10-12,Domingo,0.0,Otros,Infantil,54,21,Zierbena,,Bizkaia,,1211515584
buscametas,Galipa Swim,2025-10-12,Domingo,0.0,road running,Absoluta/General,0,217,Zierbena,,Bizkaia,,1211516878
buscametas,Galipa Swim,2025-10-12,Domingo,0.0,road running,Absoluta/General,101,0,Zierbena,,Bizkaia,,1211517384
buscametas,Galipa Swim,2025-10-12,Domingo,0.0,Otros,Otros,1,2,Zierbena,,Bizkaia,,1211518154
buscametas,Zalla Herri Bira,2025-10-11,Sábado,0.0,Otros,Infantil,24,20,Zalla,,Bizkaia,,1211411426
buscametas,Zalla Herri Bira,2025-10-11,Sábado,0.0,Otros,Infantil,8,13,Zalla,,Bizkaia,,1211412710
buscametas,Zalla Herri Bira,2025-10-11,Sábado,0.0,Otros,Infantil,5,2,Zalla,,Bizkaia,,1211413795
buscametas,Zalla Herri Bira,2025-10-11,Sábado,0.0,Otros,Mayores/Veteranos,53,155,Zalla,,Bizkaia,,1211409488
buscametas,Granuja Xtreme,2025-10-11,Sábado,28.0,road running,Absoluta/General,7,121,Pradoluengo,,Burgos,,1214432344
buscametas,Granuja Xtreme,2025-10-11,Sábado,16.0,road running,Absoluta/General,39,135,Pradoluengo,,Burgos,,1214433727
buscametas,Granuja Xtreme,2025-10-11,Sábado,0.0,marcha,Absoluta/General,120,84,Pradoluengo,,Burgos,,1214434851
buscametas,Gorlizko Herri Krosa,2025-10-05,Domingo,0.0,Otros,Infantil,14,28,Gorliz,,Bizkaia,,64
buscametas,Gorlizko Herri Krosa,2025-10-05,Domingo,0.0,Otros,Infantil,11,6,Gorliz,,Bizkaia,,65
buscametas,Gorlizko Herri Krosa,2025-10-05,Domingo,0.0,Otros,Infantil,4,1,Gorliz,,Bizkaia,,66
buscametas,Gorlizko Herri Krosa,2025-10-05,Domingo,5.0,road running,Absoluta/General,34,52,Gorliz,,Bizkaia,,1156037786
buscametas,Gorlizko Herri Krosa,2025-10-05,Domingo,10.0,road running,Absoluta/General,38,100,Gorliz,,Bizkaia,,1156038722
buscametas,Serantes Igoera,2025-10-05,Domingo,0.0,road running,Absoluta/General,61,249,Mamariga - Santurtzi,,Bizkaia,,1211182875
buscametas,BBK Mendi Martxak - Gurutzeta Cruces,2025-09-28,Domingo,14.0,marcha,Absoluta/General,118,184,Barakaldo,,Bizkaia,,1210478765
buscametas,Hiru Gurutzeak,2025-09-27,Sábado,80.0,road running,Absoluta/General,10,106,Galdakao,,Bizkaia,,1195344131
buscametas,Ribero Trail,2025-09-20,Sábado,18.0,trail running,Absoluta/General,4,22,El Ribero de Montija,,Burgos,,1207524868
buscametas,CórrELA,2025-09-14,Domingo,10.0,road running,Absoluta/General,70,178,Vitoria - Gasteiz,Gasteizko kuadrilla,Álava,,1209656496
buscametas,CórrELA,2025-09-14,Domingo,5.0,road running,Absoluta/General,160,143,Vitoria - Gasteiz,Gasteizko kuadrilla,Álava,,1209658167
buscametas,Picos de La Demanda,2025-09-13,Sábado,35.0,road running,Absoluta/General,16,129,Ezcaray,,La Rioja,,1209476610
buscametas,Picos de La Demanda,2025-09-13,Sábado,24.0,road running,Absoluta/General,38,211,Ezcaray,,La Rioja,,1209475470
buscametas,Picos de La Demanda,2025-09-13,Sábado,10.0,road running,Absoluta/General,65,121,Ezcaray,,La Rioja,,1209477777
buscametas,Picos de La Demanda,2025-09-13,Sábado,7.0,Otros,Infantil,10,19,Ezcaray,,La Rioja,,59
buscametas,Viernes Nocturna By Irier,2025-09-12,Viernes,7.0,Otros,Absoluta/General,19,55,Ezcaray,,La Rioja,,60
buscametas,Cross Solidario entre Viñedos,2025-09-07,Domingo,10.0,road running,Absoluta/General,11,31,Roa de Duero,,Burgos,,1218427607
buscametas,BTT Extreme Ezcaray - Domingo,2025-07-27,Domingo,0.0,Ciclismo y btt,Absoluta/General,7,119,Ezcaray,,La Rioja,,55
buscametas,BTT Extreme Ezcaray - Domingo,2025-07-27,Domingo,0.0,Ciclismo y btt,Absoluta/General,0,0,Ezcaray,,La Rioja,24.0,56
buscametas,BTT Extreme Ezcaray - Sábado,2025-07-26,Sábado,0.0,Ciclismo y btt,Absoluta/General,8,166,Ezcaray,,La Rioja,,1208144252
