fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia
cursescat,Albera Marítima,2025-05-04,Domingo,8.0,trail running,Absoluta/General,64,59,Colera,Alt Empordà,Girona
cursescat,Albera Marítima,2025-05-04,Domingo,17.0,trail running,Absoluta/General,16,50,Colera,Alt Empordà,Girona
cursescat,Marxa de la Tortuga,2025-04-27,Domingo,8.0,trail running,Absoluta/General,48,38,Darnius,Alt Empordà,Girona
cursescat,Marxa de la Tortuga,2025-04-27,Domingo,15.0,trail running,Absoluta/General,5,28,Darnius,Alt Empordà,Girona
cursescat,La Marreca 2025,2025-04-26,Sábado,5.0,road running,Absoluta/General,29,9,Salt,Gironès,Girona
cursescat,La Marreca 2025,2025-04-26,Sábado,10.0,road running,Absoluta/General,20,34,Salt,Gironès,Girona
cursescat,Bacanal 2025,2025-04-20,Domingo,8.0,trail running,Absoluta/General,20,36,Rupià,Baix Empordà,Girona
cursescat,Bacanal 2025,2025-04-20,Domingo,14.0,trail running,Absoluta/General,20,61,Rupià,Baix Empordà,Girona
cursescat,Engatats 2025,2025-04-19,Sábado,5.0,trail running,Absoluta/General,48,27,Sant Jordi Desvalls,Gironès,Girona
cursescat,Engatats 2025,2025-04-19,Sábado,10.0,trail running,Absoluta/General,24,57,Sant Jordi Desvalls,Gironès,Girona
cursescat,Marxa del Garrí 2025,2025-04-13,Domingo,6.0,marcha,Absoluta/General,0,24,Garrigàs,Alt Empordà,Girona
cursescat,Marxa del Garrí 2025,2025-04-13,Domingo,12.0,marcha,Absoluta/General,65,45,Garrigàs,Alt Empordà,Girona
cursescat,Correpoble 2025,2025-04-12,Sábado,10.0,road running,Absoluta/General,716,619,La Bisbal,Baix Empordà,Girona
cursescat,Fox Trail 2025,2025-04-06,Domingo,8.0,trail running,Absoluta/General,171,148,Sant LLorenç de la Muga,Alt Empordà,Girona
cursescat,Fox Trail 2025,2025-04-06,Domingo,15.0,trail running,Absoluta/General,55,161,Sant LLorenç de la Muga,Alt Empordà,Girona
cursescat,BTT Sant Jordi 2025,2025-04-06,Domingo,25.0,Ciclismo y btt,Absoluta/General,3,64,Sant Jordi Desvalls,Gironès,Girona
cursescat,BTT Sant Jordi 2025,2025-04-06,Domingo,38.0,Ciclismo y btt,Absoluta/General,8,186,Sant Jordi Desvalls,Gironès,Girona
cursescat,La Suada 2025,2025-03-23,Domingo,5.0,marcha,Absoluta/General,15,11,Agullana,Alt Empordà,Girona
cursescat,La Suada 2025,2025-03-23,Domingo,15.0,marcha,Absoluta/General,15,41,Agullana,Alt Empordà,Girona
cursescat,Bike Marató Cap de Creus 2025,2025-03-23,Domingo,25.0,Ciclismo y btt,Absoluta/General,5,59,Roses,Alt Empordà,Girona
cursescat,Bike Marató Cap de Creus 2025,2025-03-23,Domingo,40.0,Ciclismo y btt,Absoluta/General,7,137,Roses,Alt Empordà,Girona
cursescat,Bike Marató Cap de Creus 2025,2025-03-23,Domingo,70.0,Ciclismo y btt,Absoluta/General,0,10,Roses,Alt Empordà,Girona
cursescat,Cusa Sant Josep 2025,2025-03-23,Domingo,5.0,road running,Absoluta/General,57,41,Figueres,Alt Empordà,Girona
cursescat,Cusa Sant Josep 2025,2025-03-23,Domingo,10.0,road running,Absoluta/General,29,100,Figueres,Alt Empordà,Girona
cursescat,Les Vetes 2025,2025-03-22,Sábado,5.0,marcha,Absoluta/General,48,26,Salt,Gironès,Girona
cursescat,Les Vetes 2025,2025-03-22,Sábado,10.0,marcha,Absoluta/General,27,44,Salt,Gironès,Girona
cursescat,Embruixada 2025,2025-03-16,Domingo,12.0,trail running,Absoluta/General,100,122,Llers,Alt Empordà,Girona
cursescat,Embruixada 2025,2025-03-16,Domingo,20.0,trail running,Absoluta/General,24,78,Llers,Alt Empordà,Girona
cursescat,Cursa de la Dona LLagostera,2025-03-03,Lunes,5.0,road running,Absoluta/General,100,47,LLagostera,Gironès,Girona
cursescat,Cursa de la Dona LLagostera,2025-03-03,Lunes,10.0,road running,Absoluta/General,2,0,LLagostera,Gironès,Girona
cursescat,Cursa Regencos,2025-02-16,Domingo,13.0,marcha,Absoluta/General,89,36,Regencós,Baix Empordà,Girona
cursescat,Balco de l'Empordà,2025-02-09,Domingo,0.0,trail running,Absoluta/General,89,58,Palau Saverdera,Alt Empordà,Girona
cursescat,Balco de l'Empordà,2025-02-09,Domingo,11.0,trail running,Absoluta/General,37,84,Palau Saverdera,Alt Empordà,Girona
cursescat,Balco de l'Empordà,2025-02-09,Domingo,21.0,trail running,Absoluta/General,13,77,Palau Saverdera,Alt Empordà,Girona
cursescat,La Sussissa 2025,2025-01-26,Domingo,10.0,marcha,Absoluta/General,250,298,Espolla,Alt Empordà,Girona
cursescat,Sant Silvestre Cadaques,2024-12-31,Martes,10.0,road running,Absoluta/General,241,333,Cadaqués,Alt Empordà,Girona
cursescat,Cursa dels Nassos Maçanet de Cabrenys,2024-12-31,Martes,5.0,road running,Absoluta/General,114,107,Maçanet de Cabrenys,Alt Empordà,Girona
cursescat,Sant Esteve L'Escala,2024-12-26,Jueves,5.0,road running,Absoluta/General,69,70,L'Escala,Alt Empordà,Girona
cursescat,Sant Esteve L'Escala,2024-12-26,Jueves,10.0,road running,Absoluta/General,32,75,L'Escala,Alt Empordà,Girona
cursescat,Nadalenca Agullana,2024-12-22,Domingo,4.0,road running,Absoluta/General,24,18,Agullana,Alt Empordà,Girona
cursescat,Nadalenca Agullana,2024-12-22,Domingo,8.0,road running,Absoluta/General,6,16,Agullana,Alt Empordà,Girona
cursescat,Cims de Girona 2024 -Els Àngels-,2024-12-12,Jueves,0.0,trail running,Absoluta/General,26,57,Els Àngels,Gironès,Girona
cursescat,Trail La Vall,2024-12-01,Domingo,46.0,trail running,Absoluta/General,7,26,Bellcaire d'Empordà,Baix Empordà,Girona
cursescat,Trail La Vall,2024-12-01,Domingo,22.0,trail running,Absoluta/General,18,87,Bellcaire d'Empordà,Baix Empordà,Girona
cursescat,Trail La Vall,2024-12-01,Domingo,13.0,trail running,Absoluta/General,62,94,Bellcaire d'Empordà,Baix Empordà,Girona
cursescat,Trail La Vall,2024-12-01,Domingo,6.0,trail running,Absoluta/General,32,31,Bellcaire d'Empordà,Baix Empordà,Girona
cursescat,Cims de Girona 2024 -Rocacorba-,2024-11-28,Jueves,0.0,trail running,Absoluta/General,25,71,Canet d'Adri,Gironès,Girona
cursescat,Sant Esteve,2024-11-26,Martes,5.0,road running,Absoluta/General,119,122,Llagostera,Gironès,Girona
cursescat,Sant Esteve,2024-11-26,Martes,10.0,road running,Absoluta/General,191,369,Llagostera,Gironès,Girona
cursescat,Corre per l'ICTUS,2024-11-24,Domingo,5.0,Otros,Absoluta/General,34,45,Girona,Gironès,Girona
cursescat,Cims de Girona 2024 -Sant Miquel-,2024-11-21,Jueves,0.0,trail running,Absoluta/General,40,79,Cim de Sant Miquel,Vallès Oriental,Catalunya
cursescat,Querroig2024,2024-11-17,Domingo,9.0,trail running,Absoluta/General,130,71,Portbou,Alt Empordà,Girona
cursescat,Querroig2024,2024-11-17,Domingo,15.0,trail running,Absoluta/General,29,80,Portbou,Alt Empordà,Girona
cursescat,Querroig2024,2024-11-17,Domingo,23.0,trail running,Absoluta/General,5,39,Portbou,Alt Empordà,Girona
cursescat,Marxa Trail LLuerts,2024-11-10,Domingo,8.0,trail running,Absoluta/General,63,50,Viladamat,Alt Empordà,Girona
cursescat,Marxa Trail LLuerts,2024-11-10,Domingo,15.0,trail running,Absoluta/General,7,27,Viladamat,Alt Empordà,Girona
