fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,n_enlaces_sexo,tiene_sexo_identificado,candidato_lugar
youevent,Cursa de Badia 2025,2025-04-27,Domingo,0.0,road running,Absoluta/General,315.0,196.0,Donostia / San Sebastián,,Euskadi,0,False,Cursa de Badia
youevent,II Valdeconcha Trail,2025-05-03,Sábado,0.0,trail running,Absoluta/General,19.0,29.0,,,,0,False,Valdeconcha Trail
youevent,XIII Carrera y X Marcha Pedestre Villa de Turégano,2025-05-10,Sábado,0.0,marcha,Absoluta/General,12.0,46.0,Aguilafuente,,Castilla y León,0,False,y X Marcha Pedestre Villa de Turégano
youevent,XV Trail Romancos - Alcarria Verde,2025-05-10,Sábado,0.0,trail running,Absoluta/General,42.0,120.0,Guadalajara,,Castilla-La Mancha,0,False,Romancos - Alcarria Verde
youevent,Trail Valle de Arbas 2025,2025-05-10,Sábado,0.0,trail running,Absoluta/General,2.0,4.0,Villamanín,,Castilla y León,0,False,Valle de Arbas
youevent,Marcha Nordina Azagra - Copa y Campeonato de España 2025,2025-05-10,Sábado,0.0,marcha,Absoluta/General,91.0,117.0,Madrid,,Comunidad de Madrid,0,False,Marcha Nordina Azagra - Copa y Campeonato de España
youevent,XV Vuelta a La Jarosa,2025-05-10,Sábado,0.0,road running,Absoluta/General,145.0,247.0,,,,0,False,La Jarosa
youevent,III Trail Mina de La Plata - Copa de FMM,2025-05-11,Domingo,0.0,trail running,Absoluta/General,82.0,112.0,,,,0,False,Mina de La Plata - Copa de FMM
youevent,Triatlon Tres Cantos 2025 - ESCOLAR,2025-05-17,Sábado,0.0,Multidisciplina,Infantil,57.0,74.0,Tres Cantos,,Comunidad de Madrid,8,True,Tres Cantos
youevent,III Carrera San Isidro COMUNIDAD DE MADRID,2025-05-17,Sábado,0.0,road running,Absoluta/General,13.0,11.0,Alcalá de Henares,,Comunidad de Madrid,0,False,Isidro COMUNIDAD DE MADRID
youevent,IBERIKA TRAIL - LOZOYUELA 2025,2025-05-18,Domingo,0.0,trail running,Absoluta/General,91.0,273.0,Lozoyuela-Navas-Sieteiglesias,,Comunidad de Madrid,0,False,IBERIKA TRAIL - LOZOYUELA
youevent,IV Trail de Brihuega - Memorial Jorge Arias,2025-05-24,Sábado,0.0,trail running,Absoluta/General,23.0,33.0,,,,0,False,Brihuega - Memorial Jorge Arias
youevent,II Carrera Popular Santa Quiteria - HOMENAJE A LUCIA BODEGA CASADO,2025-05-24,Sábado,0.0,road running,Absoluta/General,0.0,0.0,,,,0,False,Santa Quiteria - HOMENAJE A LUCIA BODEGA CASADO
youevent,Carrera Fundación ASISA 2025,2025-05-25,Domingo,0.0,road running,Absoluta/General,53.0,53.0,,,,0,False,Fundación ASISA
youevent,ATIENZA - MTB Circuito Guadalajara 2025,2025-05-25,Domingo,0.0,Ciclismo y btt,Absoluta/General,4.0,0.0,Molina de Aragón,,Castilla-La Mancha,0,False,ATIENZA - MTB Circuito Guadalajara
youevent,Triatlon Parla 2025  (ESCOLAR & Cto. de Madrid de Triatlón Super Sprint),2025-05-31,Sábado,0.0,Multidisciplina,Infantil,163.0,219.0,Parla,,Comunidad de Madrid,10,True,Parla
youevent,I Trail del Jalón,2025-05-31,Sábado,0.0,trail running,Absoluta/General,9.0,33.0,Xaló,la Marina Alta,Comunitat Valenciana,0,False,Jalón
youevent,XIII Carrera Natural de las Cañadas,2025-06-01,Domingo,0.0,road running,Absoluta/General,9.0,28.0,Fuengirola,Costa del Sol Occidental,Andalucía,0,False,Natural de las Cañadas
youevent,Ultra La Pinilla 2025,2025-06-01,Domingo,0.0,road running,Absoluta/General,47.0,255.0,Puebla de la Sierra,,Comunidad de Madrid,0,False,Ultra La Pinilla
youevent,Carrera de Las Capacidades 2025 - Madrid - EMPRESAS - Presencial,2025-06-01,Domingo,0.0,road running,Absoluta/General,0.0,326.0,,,,0,False,Las Capacidades
youevent,Carrera de Las Capacidades 2025 - Madrid - ASOCIACIONES y PARTICULARES - Presencial,2025-06-01,Domingo,0.0,road running,Absoluta/General,0.0,324.0,,,,0,False,Las Capacidades
youevent,Carrera de Las Capacidades 2025 - Barcelona - ASOCIACIONES Y PARTICULARES - Presencial,2025-06-01,Domingo,0.0,road running,Absoluta/General,0.0,2.0,,,,0,False,Las Capacidades
youevent,Carrera de Las Capacidades 2025 - Sevilla - ASOCIACIONES Y PARTICULARES - Presencial,2025-06-01,Domingo,0.0,road running,Absoluta/General,0.0,1.0,,,,0,False,Las Capacidades
youevent,Carrera de Las Capacidades 2025 - Valencia - ASOCIACIONES Y PARTICULARES - Presencial,2025-06-01,Domingo,0.0,road running,Absoluta/General,0.0,0.0,,,,0,False,Las Capacidades
youevent,XVII Carrera y Marcha de la Mujer contra la Violencia de Genero de Cerceda,2025-06-01,Domingo,0.0,marcha,Absoluta/General,0.0,0.0,Espinoso del Rey,,Castilla-La Mancha,0,False,y Marcha de la Mujer contra la Violencia de Genero de Cerceda
youevent,2ª PRUEBA COPA DE MADRID DE MARCHA  Y CAMPEONATO NÓRDICA VALDEBEBAS 2025,2025-06-01,Domingo,0.0,marcha,Absoluta/General,65.0,88.0,,,,0,False,PRUEBA COPA DE MADRID DE MARCHA Y CAMPEONATO NÓRDICA VALDEBEBAS
youevent,IV Gascones - ELA-Trail Solidario,2025-06-07,Sábado,0.0,trail running,Absoluta/General,0.0,0.0,,,,0,False,Gascones - ELA-Trail Solidario
youevent,Acuatlón Mostoles 2025 - ESCOLAR,2025-06-07,Sábado,0.0,Multidisciplina,Infantil,119.0,98.0,,,,9,True,Acuatlón Mostoles
youevent,3ª Carrera por la Discapacidad CAPAZ APASCOVI,2025-06-08,Domingo,0.0,road running,Absoluta/General,121.0,104.0,,,,0,False,por la Discapacidad CAPAZ APASCOVI
youevent,Triatlón Super Sprint Arganda 2025,2025-06-08,Domingo,0.0,Multidisciplina,Absoluta/General,7.0,14.0,,,,0,False,Super Sprint Arganda
youevent,IV Carrera Pedestre Cañada Real,2025-06-15,Domingo,0.0,road running,Absoluta/General,3.0,15.0,Navahondilla,,Castilla y León,0,False,Cañada Real
youevent,JADRAQUE - MTB Circuito Guadalajara 2025,2025-06-15,Domingo,0.0,Ciclismo y btt,Absoluta/General,4.0,4.0,Molina de Aragón,,Castilla-La Mancha,0,False,JADRAQUE - MTB Circuito Guadalajara
youevent,I Carrera Solidaria Km Frente al Cáncer,2025-06-15,Domingo,0.0,road running,Absoluta/General,224.0,100.0,Babilafuente,,Castilla y León,0,False,Frente al Cáncer
youevent,IBERIKA TRAIL - NOCTURNA VALDEMANCO 2025 - Campeonato CxM Nocturno FMM,2025-06-21,Sábado,0.0,trail running,Absoluta/General,46.0,165.0,,,,0,False,IBERIKA TRAIL - NOCTURNA VALDEMANCO
youevent,GRAN TRIATLÓN MADRID 2025 - ESCOLAR,2025-06-21,Sábado,0.0,Multidisciplina,Infantil,151.0,198.0,,,,8,True,MADRID
youevent,Gran Triatlón Madrid 2025,2025-06-21,Sábado,0.0,Multidisciplina,Absoluta/General,362.0,1684.0,Madrid,,Comunidad de Madrid,0,False,Madrid
youevent,Gran Triatlón Madrid 2025 - Contrarreloj Equipos,2025-06-22,Domingo,0.0,Multidisciplina,Equipos,0.0,0.0,Madrid,,Comunidad de Madrid,6,True,Madrid
youevent,Acuatlón Encinas de Boadilla 2025 - ESCOLAR,2025-06-28,Sábado,0.0,Multidisciplina,Infantil,74.0,96.0,Boadilla del Monte,,Comunidad de Madrid,5,True,Acuatlón Encinas de Boadilla
youevent,Acuatlón Boadilla del Monte 2025 - Campeonato de Madrid Acuatlón,2025-06-28,Sábado,0.0,Multidisciplina,Absoluta/General,14.0,31.0,Boadilla del Monte,,Comunidad de Madrid,2,True,Acuatlón Boadilla del Monte
youevent,XI Carrera Popular Run To Terreña,2025-07-05,Sábado,0.0,road running,Absoluta/General,21.0,73.0,Fuenterrebollo,,Castilla y León,0,False,Run To Terreña
youevent,Subida al San Millán 2025,2025-07-06,Domingo,0.0,road running,Absoluta/General,20.0,58.0,San Millán / Donemiliaga,Arabako lautada,Araba / Álava,0,False,San Millán
youevent,V Carrera Nocturna de Trail-Running Los Negrales - MEMORIAL PEPELU,2025-07-11,Viernes,0.0,trail running,Absoluta/General,0.0,0.0,,,,0,False,Trail-Running Los Negrales - MEMORIAL PEPELU
youevent,Madrid se Mueve por Madrid - Estremera 2025,2025-07-18,Viernes,0.0,road running,Absoluta/General,0.0,0.0,Estremera,,Comunidad de Madrid,0,False,Madrid se Mueve por Madrid - Estremera
