fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad,comunidad_autonoma
mychip,"XVIII Cross del Xirivell, 2016",2016-05-15,Domingo,8.5,Otros,Absoluta/General,21,57,Monóvar,El Vinalopó Medio,Alicante,0,581,1  CROSS,Comunidad Valenciana
mychip,"XVIII Cross del Xirivell, 2016",2016-05-15,Domingo,1.2,Otros,Absoluta/General,3,1,Monóvar,El Vinalopó Medio,Alicante,0,581,5  11 A 13 A,Comunidad Valenciana
mychip,"UTES y TES, sierra de Espadan",2016-05-14,Sábado,65.0,Otros,Absoluta/General,4,43,Vall de Uxó,Plana Baja,Castellón,0,489,002_TES,Comunidad Valenciana
mychip,"UTES y TES, sierra de Espadan",2016-05-14,Sábado,106.0,Otros,Absoluta/General,0,35,Vall de Uxó,Plana Baja,Castellón,0,489,001_UTES,Comunidad Valenciana
mychip,11a. Volta a peu a Genovés,2016-05-14,Sábado,8.25,Otros,Absoluta/General,32,218,Liria,El Campo de Turia,Valencia,0,598,Modalidad 8250,Comunidad Valenciana
mychip,"4t. Carrera i Marxa de la Dona, Sueca 2016",2016-05-08,Domingo,5.8,Otros,Absoluta/General,244,0,Sueca,La Ribera Baja,Valencia,0,376,Modalidad 5800,Comunidad Valenciana
mychip,Almenara Xtrem,2016-05-08,Domingo,17.0,Otros,Absoluta/General,39,183,Almenara,Plana Baja,Castellón,0,544,Modalidad 17000,Comunidad Valenciana
mychip,5a. Rompepiernas,2016-05-07,Sábado,0.0,road running,Absoluta/General,0,0,Sos del Rey Católico,,Zaragoza,0,562,default,Aragón
mychip,"Marcha Cicloturista La Ribera - Roquette, 2016",2016-05-01,Domingo,110.0,Otros,Absoluta/General,26,496,Benifayó,La Ribera Alta,Valencia,0,533,Modalidad 110000,Comunidad Valenciana
mychip,"I Letur Trail, Circuito Desafios Trail Sierra del Segura",2016-05-01,Domingo,0.0,road running,Absoluta/General,0,0,Albacete,,Castilla-La Mancha,0,552,default,Castilla-La Mancha
mychip,Carrera y Marcha festera IV Pujada Coto Memoria,2016-05-01,Domingo,0.0,road running,Absoluta/General,0,0,Crevillente,El Bajo Vinalopó,Alicante,0,564,default,Comunidad Valenciana
mychip,"10K Solidari Abencerraje, Ciutat D'Ontinyent",2016-04-30,Sábado,9.7,Otros,Absoluta/General,99,264,Onteniente,La Vall d'Albaida,Valencia,0,513,Modalidad 9700,Comunidad Valenciana
mychip,II CARRERA NOCTURNA NIT DE LES ERMITES,2016-04-30,Sábado,14.0,Otros,Absoluta/General,42,142,Ibi,La Hoya de Alcoy,Alicante,0,576,CARRERA,Comunidad Valenciana
mychip,II CARRERA NOCTURNA NIT DE LES ERMITES,2016-04-30,Sábado,14.0,Otros,Absoluta/General,105,53,Ibi,La Hoya de Alcoy,Alicante,0,576,SENDER,Comunidad Valenciana
mychip,XI Carrera Popular per a Persones amb Diversitat Funcional. Xàtiva 2016,2016-04-28,Jueves,0.0,road running,Absoluta/General,0,0,Játiva,La Costera,Valencia,0,595,default,Comunidad Valenciana
mychip,II Trail dels Senglars,2016-04-24,Domingo,21.0,Otros,Absoluta/General,15,115,Favareta,La Ribera Baja,Valencia,0,383,01_21K,Comunidad Valenciana
mychip,II Trail dels Senglars,2016-04-24,Domingo,10.0,Otros,Absoluta/General,35,108,Favareta,La Ribera Baja,Valencia,0,383,02_10K,Comunidad Valenciana
mychip,V Carrera por Montaña Callosa EXTREME,2016-04-24,Domingo,22.0,Otros,Absoluta/General,2,83,Callosa de Segura,,Alicante,0,529,001_22K,Comunidad Valenciana
mychip,V Carrera por Montaña Callosa EXTREME,2016-04-24,Domingo,12.0,Otros,Absoluta/General,10,53,Callosa de Segura,,Alicante,0,529,002_12K,Comunidad Valenciana
mychip,IV Xàtiva Natura Trail,2016-04-24,Domingo,22.3,Otros,Absoluta/General,33,226,Játiva,La Costera,Valencia,0,539,01_22k,Comunidad Valenciana
mychip,IV Xàtiva Natura Trail,2016-04-24,Domingo,15.0,Otros,Absoluta/General,262,276,Játiva,La Costera,Valencia,0,539,02_10k,Comunidad Valenciana
mychip,Carrera de la Dona de Salem,2016-04-24,Domingo,0.0,road running,Absoluta/General,0,0,Salem,La Vall d'Albaida,Valencia,0,577,default,Comunidad Valenciana
mychip,III Volta a peu 6k Tavernes de la Valldigna,2016-04-23,Sábado,6.15,Otros,Absoluta/General,72,128,Tabernes de Valldigna,La Safor,Valencia,0,567,Modalidad 6150,Comunidad Valenciana
mychip,"Trail Pous de Neu, Circuit Trail vall del Joguet 2016",2016-04-17,Domingo,20.0,Otros,Absoluta/General,18,0,Ibi,La Hoya de Alcoy,Alicante,0,525,MUJERES,Comunidad Valenciana
mychip,"Trail Pous de Neu, Circuit Trail vall del Joguet 2016",2016-04-17,Domingo,20.0,Otros,Absoluta/General,0,203,Ibi,La Hoya de Alcoy,Alicante,0,525,HOMBRES,Comunidad Valenciana
mychip,XV Media Marathón Cuidad de Elda y V 10k Ciudad de Elda.,2016-04-17,Domingo,21.0,Otros,Absoluta/General,14,132,Elda,El Vinalopó Medio,Alicante,0,558,001_21K,Comunidad Valenciana
mychip,XV Media Marathón Cuidad de Elda y V 10k Ciudad de Elda.,2016-04-17,Domingo,10.0,Otros,Absoluta/General,51,165,Elda,El Vinalopó Medio,Alicante,0,558,002_10K,Comunidad Valenciana
mychip,III CARRERA SOLIDARIA POR ETIOPIA IN REAL TIME 10 KM. ALMUSSAFES,2016-04-17,Domingo,0.4,Otros,Infantil,8,13,Almussafes,La Ribera Baja,Valencia,0,571,005_ DE 0 A 7 ANOS,Comunidad Valenciana
mychip,III CARRERA SOLIDARIA POR ETIOPIA IN REAL TIME 10 KM. ALMUSSAFES,2016-04-17,Domingo,10.0,Otros,Absoluta/General,26,88,Almussafes,La Ribera Baja,Valencia,0,571,001_10K,Comunidad Valenciana
mychip,III CARRERA SOLIDARIA POR ETIOPIA IN REAL TIME 10 KM. ALMUSSAFES,2016-04-17,Domingo,1.6,Otros,Absoluta/General,1,3,Almussafes,La Ribera Baja,Valencia,0,571,003_12 A 15 ANYS,Comunidad Valenciana
mychip,III CARRERA SOLIDARIA POR ETIOPIA IN REAL TIME 10 KM. ALMUSSAFES,2016-04-17,Domingo,0.8,Otros,Infantil,8,24,Almussafes,La Ribera Baja,Valencia,0,571,004_DE 8 A 11 ANOS,Comunidad Valenciana
mychip,III CARRERA SOLIDARIA POR ETIOPIA IN REAL TIME 10 KM. ALMUSSAFES,2016-04-17,Domingo,5.0,Otros,Absoluta/General,35,33,Almussafes,La Ribera Baja,Valencia,0,571,002_5K,Comunidad Valenciana
mychip,IV Trail Solidari ciutat d'Alcoi,2016-04-16,Sábado,55.5,Otros,Absoluta/General,52,526,Alcoy,La Hoya de Alcoy,Alicante,0,490,001_TRAIL,Comunidad Valenciana
mychip,IV Trail Solidari ciutat d'Alcoi,2016-04-16,Sábado,25.0,Otros,Absoluta/General,189,285,Alcoy,La Hoya de Alcoy,Alicante,0,490,002_MARXA,Comunidad Valenciana
mychip,I Trail Monte Ponoig,2016-04-10,Domingo,16.0,Otros,Absoluta/General,18,89,Polop,La Marina Baja,Alicante,0,538,16K,Comunidad Valenciana
mychip,I Trail Monte Ponoig,2016-04-10,Domingo,24.0,Otros,Absoluta/General,8,132,Polop,La Marina Baja,Alicante,0,538,01_TRAIL,Comunidad Valenciana
mychip,III Cursa i Marxa per Muntanya Palma-Ador,2016-04-10,Domingo,11.0,Otros,Absoluta/General,24,16,Palma de Gandía,La Safor,Valencia,0,546,02_MARXA,Comunidad Valenciana
mychip,III Cursa i Marxa per Muntanya Palma-Ador,2016-04-10,Domingo,15.0,Otros,Absoluta/General,28,90,Palma de Gandía,La Safor,Valencia,0,546,01_TRAIL,Comunidad Valenciana
mychip,"Campionat Absolut i per Clubs de la Comunitat Valenciana, FEMECV 2016",2016-04-10,Domingo,0.0,Otros,Absoluta/General,0,9,Tabernes de Valldigna,La Safor,Valencia,0,557,Modalidad por defecto,Comunidad Valenciana
mychip,"Campionat Absolut i per Clubs de la Comunitat Valenciana, FEMECV 2016",2016-04-10,Domingo,46.7,Otros,Absoluta/General,98,0,Tabernes de Valldigna,La Safor,Valencia,0,557,ABSOLUTA_FEMENINA,Comunidad Valenciana
mychip,"Campionat Absolut i per Clubs de la Comunitat Valenciana, FEMECV 2016",2016-04-10,Domingo,25.4,Otros,Cadete/Juvenil,0,20,Tabernes de Valldigna,La Safor,Valencia,0,557,JUNIOR_MASC,Comunidad Valenciana
mychip,"Campionat Absolut i per Clubs de la Comunitat Valenciana, FEMECV 2016",2016-04-10,Domingo,46.7,Otros,Absoluta/General,1,399,Tabernes de Valldigna,La Safor,Valencia,0,557,ABSOLUTA_MASCULINA,Comunidad Valenciana
mychip,"Campionat Absolut i per Clubs de la Comunitat Valenciana, FEMECV 2016",2016-04-10,Domingo,25.4,Otros,Cadete/Juvenil,2,0,Tabernes de Valldigna,La Safor,Valencia,0,557,JUNIOR_FEM,Comunidad Valenciana
mychip,"Campionat Absolut i per Clubs de la Comunitat Valenciana, FEMECV 2016",2016-04-10,Domingo,25.4,Otros,Cadete/Juvenil,2,0,Tabernes de Valldigna,La Safor,Valencia,0,557,CADETE_FEM,Comunidad Valenciana
mychip,"Campionat Absolut i per Clubs de la Comunitat Valenciana, FEMECV 2016",2016-04-10,Domingo,25.4,Otros,Cadete/Juvenil,0,11,Tabernes de Valldigna,La Safor,Valencia,0,557,CADETE_MASC,Comunidad Valenciana
mychip,Marcha Medioambiental Crevillent - Playa del Pinet,2016-04-10,Domingo,0.0,road running,Absoluta/General,0,0,Crevillente,El Bajo Vinalopó,Alicante,0,569,default,Comunidad Valenciana
mychip,"XI Marató per muntanya Marina Alta, II Cursa els Tres Tossals",2016-04-03,Domingo,42.0,Otros,Absoluta/General,6,79,Gata de Gorgos,La Marina Alta,Alicante,0,448,001_MARATON,Comunidad Valenciana
mychip,"XI Marató per muntanya Marina Alta, II Cursa els Tres Tossals",2016-04-03,Domingo,22.0,Otros,Absoluta/General,9,84,Gata de Gorgos,La Marina Alta,Alicante,0,448,002_MEDIA,Comunidad Valenciana
mychip,"XI Marató per muntanya Marina Alta, II Cursa els Tres Tossals",2016-04-03,Domingo,22.0,Otros,Absoluta/General,6,12,Gata de Gorgos,La Marina Alta,Alicante,0,448,003_SENDERISTAS,Comunidad Valenciana
mychip,Gátova Trail 2016,2016-04-03,Domingo,21.0,Otros,Absoluta/General,32,133,Gátova,El Campo de Turia,Valencia,0,493,002_21K,Comunidad Valenciana
mychip,Gátova Trail 2016,2016-04-03,Domingo,10.0,Otros,Absoluta/General,48,100,Gátova,El Campo de Turia,Valencia,0,493,003_10K,Comunidad Valenciana
mychip,Gátova Trail 2016,2016-04-03,Domingo,42.0,Otros,Absoluta/General,14,183,Gátova,El Campo de Turia,Valencia,0,493,001_42K,Comunidad Valenciana
mychip,"XI cursa i Marxa per muntanya de Castalla, Trail Vall del Joguet 2016",2016-04-03,Domingo,20.0,Otros,Absoluta/General,16,1,Castalla,La Hoya de Alcoy,Alicante,0,526,MUJERES,Comunidad Valenciana
mychip,"XI cursa i Marxa per muntanya de Castalla, Trail Vall del Joguet 2016",2016-04-03,Domingo,20.0,Otros,Absoluta/General,0,147,Castalla,La Hoya de Alcoy,Alicante,0,526,HOMBRES,Comunidad Valenciana
mychip,"Desafios Lurbel 2016, Yeste",2016-04-02,Sábado,37.0,Otros,Absoluta/General,18,258,Yeste,,Castilla-La Mancha,0,520,002_37K,Castilla-La Mancha
mychip,"Desafios Lurbel 2016, Yeste",2016-04-02,Sábado,73.0,Otros,Absoluta/General,1,75,Yeste,,Castilla-La Mancha,0,520,001_73K,Castilla-La Mancha
mychip,"Desafios Lurbel 2016, Yeste",2016-04-02,Sábado,18.0,Otros,Absoluta/General,176,274,Yeste,,Castilla-La Mancha,0,520,003_18K,Castilla-La Mancha
