fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,id,modalidad
carreirasgalegas,"VI MILLA SOLIDARIA ANEDIA, QUE A DIABETE NON TE PARE",2019-11-16,Sábado,0.1,road running,Infantil,0,0,Pontevedra,Pontevedra,Pontevedra,VP92a2mo,PEQUERRECHOS
carreirasgalegas,"VI MILLA SOLIDARIA ANEDIA, QUE A DIABETE NON TE PARE",2019-11-16,Sábado,0.5,marcha,Absoluta/General,0,0,Pontevedra,Pontevedra,Pontevedra,VP92a2mo,ANDAINA
carreirasgalegas,"VI MILLA SOLIDARIA ANEDIA, QUE A DIABETE NON TE PARE",2019-11-16,Sábado,0.5,road running,Infantil,0,0,Pontevedra,Pontevedra,Pontevedra,VP92a2mo,"SUB 10, 12 E 14"
carreirasgalegas,"VI MILLA SOLIDARIA ANEDIA, QUE A DIABETE NON TE PARE",2019-11-16,Sábado,1.0,road running,Infantil,0,0,Pontevedra,Pontevedra,Pontevedra,VP92a2mo,SUB 16
carreirasgalegas,"VI MILLA SOLIDARIA ANEDIA, QUE A DIABETE NON TE PARE",2019-11-16,Sábado,1.608,road running,Absoluta/General,0,0,Pontevedra,Pontevedra,Pontevedra,VP92a2mo,MILLA POPULAR
carreirasgalegas,"VI MILLA SOLIDARIA ANEDIA, QUE A DIABETE NON TE PARE",2019-11-16,Sábado,1.609,road running,Absoluta/General,0,0,Pontevedra,Pontevedra,Pontevedra,VP92a2mo,MILLA ÉLITE FEDERADA
carreirasgalegas,VI POPULAR FARO RONCUDO,2026-06-13,Sábado,0.2,road running,Infantil,4,5,Ponteceso,Bergantiños,A Coruña,2mJVanmM,SUB 8
carreirasgalegas,VI POPULAR FARO RONCUDO,2026-06-13,Sábado,0.5,road running,Infantil,8,13,Ponteceso,Bergantiños,A Coruña,2mJVanmM,SUB 10
carreirasgalegas,VI POPULAR FARO RONCUDO,2026-06-13,Sábado,1.0,road running,Infantil,16,7,Ponteceso,Bergantiños,A Coruña,2mJVanmM,SUB 14 E SUB 12
carreirasgalegas,VI POPULAR FARO RONCUDO,2026-06-13,Sábado,2.0,road running,Infantil,7,13,Ponteceso,Bergantiños,A Coruña,2mJVanmM,SUB 18 E SUB 16
carreirasgalegas,VI POPULAR FARO RONCUDO,2026-06-13,Sábado,6.2,road running,Absoluta/General,62,146,Ponteceso,Bergantiños,A Coruña,2mJVanmM,ABS 6.2 K
carreirasgalegas,VI SAN SILVESTRE OURENSÁ,2021-12-31,Viernes,5.0,road running,Absoluta/General,0,0,Ourense,,Ourense,AOjGy3m5,CARREIRA 5KM
carreirasgalegas,VI SAN SILVESTRE SOLIDARIA – A ILUSIÓN DE SERGIO,2023-12-31,Domingo,3.9,road running,Absoluta/General,0,0,Ordes,Ordes,A Coruña,v6mxVGj4,CORRE OU ANDA
carreirasgalegas,VI SUBIDA A SAN CIDRE,2026-04-12,Domingo,0.06,Otros,Infantil,2,3,Toques,Terra de Melide,A Coruña,Ll7xvJmO,PITUFOS
carreirasgalegas,VI SUBIDA A SAN CIDRE,2026-04-12,Domingo,0.4,Otros,Infantil,3,6,Toques,Terra de Melide,A Coruña,Ll7xvJmO,SUB 8
carreirasgalegas,VI SUBIDA A SAN CIDRE,2026-04-12,Domingo,0.8,Otros,Infantil,1,5,Toques,Terra de Melide,A Coruña,Ll7xvJmO,SUB 10
carreirasgalegas,VI SUBIDA A SAN CIDRE,2026-04-12,Domingo,1.2,Otros,Infantil,4,7,Toques,Terra de Melide,A Coruña,Ll7xvJmO,SUB 12 E SUB 14
carreirasgalegas,VI SUBIDA A SAN CIDRE,2026-04-12,Domingo,2.0,Otros,Infantil,0,4,Toques,Terra de Melide,A Coruña,Ll7xvJmO,SUB 18 E SUB 16
carreirasgalegas,VI SUBIDA A SAN CIDRE,2026-04-12,Domingo,8.0,road running,Absoluta/General,14,29,Toques,Terra de Melide,A Coruña,Ll7xvJmO,CARREIRA 8K
carreirasgalegas,VI SUBIDA A SAN CIDRE,2026-04-12,Domingo,17.0,road running,Absoluta/General,8,45,Toques,Terra de Melide,A Coruña,Ll7xvJmO,CARREIRA 17K
carreirasgalegas,VI TRAIL E ANDAINA RIBEIRAS DO TAMBRE - CTO. XUNTA DE GALICIA PRECLASSIC,2025-02-23,Domingo,8.0,trail running,Absoluta/General,99,129,Ames - Ponte Maceira,,,Maj46om4,CTO. PRECLASSIC; TRAIL CURTO
carreirasgalegas,VI TRAIL E ANDAINA RIBEIRAS DO TAMBRE - CTO. XUNTA DE GALICIA PRECLASSIC,2025-02-23,Domingo,15.0,marcha,Absoluta/General,0,0,Ames - Ponte Maceira,,,Maj46om4,ANDAINA
carreirasgalegas,VI TRAIL E ANDAINA RIBEIRAS DO TAMBRE - CTO. XUNTA DE GALICIA PRECLASSIC,2025-02-23,Domingo,16.0,trail running,Absoluta/General,43,169,Ames - Ponte Maceira,,,Maj46om4,TRAIL LONGO
carreirasgalegas,VI URBAN TRAIL POLÍGONO DE BERGONDO,2026-06-14,Domingo,0.1,trail running,Infantil,0,0,Bergondo,A Coruña,A Coruña,Blpy5EmQ,PREBENX. E PITUFOS
carreirasgalegas,VI URBAN TRAIL POLÍGONO DE BERGONDO,2026-06-14,Domingo,0.5,trail running,Infantil,9,15,Bergondo,A Coruña,A Coruña,Blpy5EmQ,SUB 12 E SUB 10
carreirasgalegas,VI URBAN TRAIL POLÍGONO DE BERGONDO,2026-06-14,Domingo,1.0,trail running,Infantil,17,4,Bergondo,A Coruña,A Coruña,Blpy5EmQ,SUB 14 E SUB 16
carreirasgalegas,VI URBAN TRAIL POLÍGONO DE BERGONDO,2026-06-14,Domingo,6.0,marcha,Absoluta/General,0,0,Bergondo,A Coruña,A Coruña,Blpy5EmQ,ANDAINA
carreirasgalegas,VI URBAN TRAIL POLÍGONO DE BERGONDO,2026-06-14,Domingo,6.0,marcha,Infantil,0,0,Bergondo,A Coruña,A Coruña,Blpy5EmQ,ANDAINA MENORES
carreirasgalegas,VI URBAN TRAIL POLÍGONO DE BERGONDO,2026-06-14,Domingo,6.0,road running,Absoluta/General,47,85,Bergondo,A Coruña,A Coruña,Blpy5EmQ,CARREIRA 6K
carreirasgalegas,VII CARREIRA CAMIÑO DAS LETRAS,2021-05-17,Lunes,15.0,road running,Absoluta/General,0,0,Santiago de Compostela,,A Coruña,xKj6WLlR,ABSOLUTA 15KM
carreirasgalegas,VII CARREIRA DAS CIDADES. CONTRA O CANCRO DE PÁNCREAS - VIRTUAL,2021-11-18,Jueves,12.498,marcha,Infantil,0,0,Virtual,,,yz9z5emq,ANDAINA LONGA MENORES
carreirasgalegas,VII CARREIRA DAS CIDADES. CONTRA O CANCRO DE PÁNCREAS - VIRTUAL,2021-11-18,Jueves,12.5,road running,Absoluta/General,0,0,Virtual,,,yz9z5emq,CARREIRA
carreirasgalegas,VII CARREIRA DO ENTROIDO TRAZO,2023-02-18,Sábado,0.1,road running,Infantil,0,0,Trazo,Ordes,A Coruña,yz9zoRjq,PITUFOS
carreirasgalegas,VII CARREIRA DO ENTROIDO TRAZO,2023-02-18,Sábado,0.2,road running,Infantil,0,0,Trazo,Ordes,A Coruña,yz9zoRjq,SUB 10
carreirasgalegas,VII CARREIRA DO ENTROIDO TRAZO,2023-02-18,Sábado,0.4,road running,Infantil,0,0,Trazo,Ordes,A Coruña,yz9zoRjq,SUB 14 E SUB 12
carreirasgalegas,VII CARREIRA DO ENTROIDO TRAZO,2023-02-18,Sábado,1.2,road running,Infantil,0,0,Trazo,Ordes,A Coruña,yz9zoRjq,SUB 16 - SUB 18 - ADULTOS 
carreirasgalegas,VII CARREIRA DO ENTROIDO TRAZO,2023-02-18,Sábado,4.8,road running,Absoluta/General,0,0,Trazo,Ordes,A Coruña,yz9zoRjq,TRILLAZO 3 MILLAS
carreirasgalegas,VII CARREIRA E ANDAINA SOLIDARIA CONCELLO DE CURTIS - AXUDA CONTRA O CANCRO 11K,2026-05-10,Domingo,11.2,marcha,Absoluta/General,0,0,Curtis,Betanzos,A Coruña,ojQMQ0jx,ANDAINA; ANDAINA - 8 ANOS
carreirasgalegas,VII CARREIRA E ANDAINA SOLIDARIA CONCELLO DE CURTIS - AXUDA CONTRA O CANCRO 11K,2026-05-10,Domingo,11.2,road running,Absoluta/General,11,50,Curtis,Betanzos,A Coruña,ojQMQ0jx,CARREIRA 11K
carreirasgalegas,VII CARREIRA E ANDAINA SOLIDARIA POLA ESCLEROSE MÚLTIPLE,2024-06-09,Domingo,0.05,road running,Infantil,0,0,Santiago de Compostela,,A Coruña,wBlpPblQ,PEQUES
carreirasgalegas,VII CARREIRA E ANDAINA SOLIDARIA POLA ESCLEROSE MÚLTIPLE,2024-06-09,Domingo,0.5,road running,Infantil,12,17,Santiago de Compostela,,A Coruña,wBlpPblQ,ESCOLARES A
carreirasgalegas,VII CARREIRA E ANDAINA SOLIDARIA POLA ESCLEROSE MÚLTIPLE,2024-06-09,Domingo,2.0,marcha,Absoluta/General,0,0,Santiago de Compostela,,A Coruña,wBlpPblQ,ANDAINA
carreirasgalegas,VII CARREIRA E ANDAINA SOLIDARIA POLA ESCLEROSE MÚLTIPLE,2024-06-09,Domingo,2.0,marcha,Infantil,0,0,Santiago de Compostela,,A Coruña,wBlpPblQ,ANDAINA MENORES
carreirasgalegas,VII CARREIRA E ANDAINA SOLIDARIA POLA ESCLEROSE MÚLTIPLE,2024-06-09,Domingo,2.5,road running,Infantil,10,13,Santiago de Compostela,,A Coruña,wBlpPblQ,ESCOLARES B + C; ESCOLARES C
carreirasgalegas,VII CARREIRA E ANDAINA SOLIDARIA POLA ESCLEROSE MÚLTIPLE,2024-06-09,Domingo,4.5,road running,Absoluta/General,48,87,Santiago de Compostela,,A Coruña,wBlpPblQ,CARREIRA ABSOLUTA
carreirasgalegas,VII CARREIRA HOLI GAIAS 2025,2025-06-07,Sábado,0.7,road running,Infantil,0,0,Santiago de Compostela,,A Coruña,5a9a1p9B,PEQUE HOLI
carreirasgalegas,VII CARREIRA HOLI GAIAS 2025,2025-06-07,Sábado,5.0,road running,Otros,449,274,Santiago de Compostela,,A Coruña,5a9a1p9B,5K
carreirasgalegas,VII CARREIRA PEDESTRE CONCELLO DE OROSO. VII CIRCUITO DEP. PROVINCIAL DE A CORUÑA,2019-04-27,Sábado,2.0,road running,Infantil,0,0,Sigüeiro,Ordes,Galicia,Q2jWkVj6,SUB 14
carreirasgalegas,VII CARREIRA PEDESTRE CONCELLO DE OROSO. VII CIRCUITO DEP. PROVINCIAL DE A CORUÑA,2019-04-27,Sábado,2.999,road running,Infantil,0,0,Sigüeiro,Ordes,Galicia,Q2jWkVj6,SUB 16
carreirasgalegas,VII CARREIRA PEDESTRE CONCELLO DE OROSO. VII CIRCUITO DEP. PROVINCIAL DE A CORUÑA,2019-04-27,Sábado,3.0,road running,Infantil,0,0,Sigüeiro,Ordes,Galicia,Q2jWkVj6,SUB 18
carreirasgalegas,VII CARREIRA PEDESTRE CONCELLO DE OROSO. VII CIRCUITO DEP. PROVINCIAL DE A CORUÑA,2019-04-27,Sábado,10.0,road running,Otros,0,0,Sigüeiro,Ordes,Galicia,Q2jWkVj6,10 KM
carreirasgalegas,VII CARREIRA PEDESTRE DE RIBADAVIA,2022-12-04,Domingo,0.05,road running,Infantil,0,0,Ribadavia,O Ribeiro,Ourense,e4mVZKmp,BIBERÓNS
carreirasgalegas,VII CARREIRA PEDESTRE DE RIBADAVIA,2022-12-04,Domingo,0.1,road running,Infantil,0,0,Ribadavia,O Ribeiro,Ourense,e4mVZKmp,SUB 8
carreirasgalegas,VII CARREIRA PEDESTRE DE RIBADAVIA,2022-12-04,Domingo,0.7,road running,Infantil,0,0,Ribadavia,O Ribeiro,Ourense,e4mVZKmp,SUB 12 E SUB 10
carreirasgalegas,VII CARREIRA PEDESTRE DE RIBADAVIA,2022-12-04,Domingo,1.4,road running,Infantil,0,0,Ribadavia,O Ribeiro,Ourense,e4mVZKmp,SUB 14
carreirasgalegas,VII CARREIRA PEDESTRE DE RIBADAVIA,2022-12-04,Domingo,2.1,road running,Infantil,0,0,Ribadavia,O Ribeiro,Ourense,e4mVZKmp,SUB 16
carreirasgalegas,VII CARREIRA PEDESTRE DE RIBADAVIA,2022-12-04,Domingo,10.0,road running,Infantil,0,0,Ribadavia,O Ribeiro,Ourense,e4mVZKmp,SUB 18
carreirasgalegas,VII CARREIRA PEDESTRE DE RIBADAVIA,2022-12-04,Domingo,10.001,road running,Absoluta/General,0,0,Ribadavia,O Ribeiro,Ourense,e4mVZKmp,ABSOLUTA 10K
carreirasgalegas,VII CARREIRA POPULAR CONCELLO DE CASTRO DE REI,2025-01-12,Domingo,0.15,road running,Infantil,0,0,Castro de Rei,Terra Chá,Lugo,Aamek6jZ,PITUFO
carreirasgalegas,VII CARREIRA POPULAR CONCELLO DE CASTRO DE REI,2025-01-12,Domingo,0.55,road running,Absoluta/General,16,15,Castro de Rei,Terra Chá,Lugo,Aamek6jZ,PROMOCIÓN
carreirasgalegas,VII CARREIRA POPULAR CONCELLO DE CASTRO DE REI,2025-01-12,Domingo,1.1,road running,Infantil,5,11,Castro de Rei,Terra Chá,Lugo,Aamek6jZ,SUB 12
carreirasgalegas,VII CARREIRA POPULAR CONCELLO DE CASTRO DE REI,2025-01-12,Domingo,2.0,road running,Infantil,7,8,Castro de Rei,Terra Chá,Lugo,Aamek6jZ,SUB 14; SUB 16 - SUB 18 - SUB 14
carreirasgalegas,VII CARREIRA POPULAR CONCELLO DE CASTRO DE REI,2025-01-12,Domingo,14.8,road running,Absoluta/General,35,125,Castro de Rei,Terra Chá,Lugo,Aamek6jZ,ABS 14.8 KM
carreirasgalegas,VII CARREIRA POPULAR DO APÓSTOLO,2024-07-13,Sábado,0.2,road running,Infantil,0,0,Vilaño (A Laracha),Bergantiños,Galicia,xqjyeajK,PITUFOS
carreirasgalegas,VII CARREIRA POPULAR DO APÓSTOLO,2024-07-13,Sábado,1.1,road running,Infantil,20,29,Vilaño (A Laracha),Bergantiños,Galicia,xqjyeajK,SUB 10 E SUB 12
carreirasgalegas,VII CARREIRA POPULAR DO APÓSTOLO,2024-07-13,Sábado,3.8,marcha,Absoluta/General,0,0,Vilaño (A Laracha),Bergantiños,Galicia,xqjyeajK,ANDAINA
carreirasgalegas,VII CARREIRA POPULAR DO APÓSTOLO,2024-07-13,Sábado,3.8,marcha,Infantil,0,0,Vilaño (A Laracha),Bergantiños,Galicia,xqjyeajK,ANDAINA MENORES
carreirasgalegas,VII CARREIRA POPULAR DO APÓSTOLO,2024-07-13,Sábado,3.8,road running,Infantil,5,33,Vilaño (A Laracha),Bergantiños,Galicia,xqjyeajK,SUB 14 E SUB 16
carreirasgalegas,VII CARREIRA POPULAR DO APÓSTOLO,2024-07-13,Sábado,5.0,road running,Infantil,3,7,Vilaño (A Laracha),Bergantiños,Galicia,xqjyeajK,SUB 18
carreirasgalegas,VII CARREIRA POPULAR DO APÓSTOLO,2024-07-13,Sábado,10.0,road running,Absoluta/General,26,118,Vilaño (A Laracha),Bergantiños,Galicia,xqjyeajK,10K
carreirasgalegas,VII CARREIRA POPULAR “ABANCA SEMANA VERDE DE GALICIA”,2022-06-03,Viernes,0.15,road running,Infantil,0,0,Silleda,O Deza,Pontevedra,Vomr52l2,PITUFOS
carreirasgalegas,VII CARREIRA POPULAR “ABANCA SEMANA VERDE DE GALICIA”,2022-06-03,Viernes,1.2,road running,Infantil,0,0,Silleda,O Deza,Pontevedra,Vomr52l2,SUB 10 E SUB 12
carreirasgalegas,VII CARREIRA POPULAR “ABANCA SEMANA VERDE DE GALICIA”,2022-06-03,Viernes,2.2,road running,Infantil,0,0,Silleda,O Deza,Pontevedra,Vomr52l2,SUB 18 - SUB 16 - SUB 14
carreirasgalegas,VII CARREIRA POPULAR “ABANCA SEMANA VERDE DE GALICIA”,2022-06-03,Viernes,7.0,road running,Absoluta/General,0,0,Silleda,O Deza,Pontevedra,Vomr52l2,ABSOLUTA 7KM
carreirasgalegas,VII CORRETROITA POPULAR CONCELLO DE SOBRADO,2023-08-12,Sábado,0.16,road running,Absoluta/General,0,0,Sobrado,Terra de Melide,A Coruña,gemDAd9D,Troitiña Homes; Troitiña Mulleres
carreirasgalegas,VII CORRETROITA POPULAR CONCELLO DE SOBRADO,2023-08-12,Sábado,0.6,road running,Infantil,0,0,Sobrado,Terra de Melide,A Coruña,gemDAd9D,Sub 10; Sub 12
carreirasgalegas,VII CORRETROITA POPULAR CONCELLO DE SOBRADO,2023-08-12,Sábado,1.2,road running,Infantil,0,0,Sobrado,Terra de Melide,A Coruña,gemDAd9D,Sub 14 e Sub 16
carreirasgalegas,VII CORRETROITA POPULAR CONCELLO DE SOBRADO,2023-08-12,Sábado,8.0,road running,Absoluta/General,0,0,Sobrado,Terra de Melide,A Coruña,gemDAd9D,Absoluta 8K
carreirasgalegas,VII MILLA LOURENZÁ - CTO. XUNTA DE GALICIA,2024-06-01,Sábado,0.25,road running,Infantil,0,0,Lourenzá,A Mariña Central,Lugo,Ov9OZqmL,SUB 8
carreirasgalegas,VII MILLA LOURENZÁ - CTO. XUNTA DE GALICIA,2024-06-01,Sábado,1.0,road running,Infantil,52,46,Lourenzá,A Mariña Central,Lugo,Ov9OZqmL,SUB 10; SUB 12 F; SUB 12 M; SUB 14 F; SUB 14 M; SUB 16
