ciutat,comarca_regio,coord_1,coord_2,data,distancia_m,en_meta,en_meta_d,en_meta_h,en_meta_other,esport,estat_cursa,event_numeric_id,event_slug,event_url,inscrits_d,inscrits_h,inscrits_other,modalitat_id,modalitat_nom,no_presentats,no_presentats_d,no_presentats_h,no_presentats_other,nom_cursa,pais,provincia_estat,retirats,retirats_d,retirats_h,retirats_other,sortida_donada,sortida_donada_d,sortida_donada_h,sortida_donada_other,total_inscrits
La Encina,,38.7657426,-0.9531097,2026-06-06T00:00:00Z,10000,,0,0,,trail_running,finished_official,3377,xiii-cross-la-encina-vuelta-al-rocin,https://www.mychip.es/e/xiii-cross-la-encina-vuelta-al-rocin,50,38,,69ea443e474c5d4465c67105,Marcha senderista,88,0,0,,"XIII CROSS LA ENCINA ""VUELTA AL ROCÍN""",Spain,Valencian Community,,0,0,,88,0,0,,88
Polop,la Marina Baixa,38.6334787,-0.1376858,2026-06-05T00:00:00Z,,,0,0,,running,finished_official,3378,gala-circuit-tral-marina-2026-moli-de-xirles,https://www.mychip.es/e/gala-circuit-tral-marina-2026-moli-de-xirles,28,58,,69f98d20cd6e57703906eafa,Gala Circuit,86,0,0,,"Gala Circuit Tral Marina 2026, Molí de Xirles",España,Comunitat Valenciana,,0,0,,86,0,0,,86
Alfondeguilla,,39.8377817,-0.2687368,2026-05-30T00:00:00Z,34500,248,31,216,1,trail_running,finished_official,3353,43a-volta-al-terme-de-fondeguilla,https://www.mychip.es/e/43a-volta-al-terme-de-fondeguilla,44,293,1,697c78d713a309d587dd0a90,VTF-26,33,4,29,0,43a VOLTA AL TERME DE FONDEGUILLA,Spain,Valencian Community,57,9,48,0,305,40,264,1,338
Alfondeguilla,,39.8377817,-0.2687368,2026-05-30T00:00:00Z,14000,5,0,5,,trail_running,finished_official,3353,43a-volta-al-terme-de-fondeguilla,https://www.mychip.es/e/43a-volta-al-terme-de-fondeguilla,0,5,,697c78d713a309d587dd0a91,Cadete - Júnior,0,0,0,,43a VOLTA AL TERME DE FONDEGUILLA,Spain,Valencian Community,,0,0,,5,0,5,,5
Siete Aguas,La Hoya de Buñol,39.4756327,-0.914948,2026-05-24T00:00:00Z,19000,231,44,187,,trail_running,finished_official,3357,trail-las-7-sendas-siete-aguas-2026,https://www.mychip.es/e/trail-las-7-sendas-siete-aguas-2026,49,217,,6992db4dacf2eb6e3440e9fc,20K,32,5,27,,"Trail las 7 Sendas - Siete Aguas, 2026",España,Comunitat Valenciana,2,0,2,,234,44,190,,266
Siete Aguas,La Hoya de Buñol,39.4756327,-0.914948,2026-05-24T00:00:00Z,12000,286,85,201,,trail_running,finished_official,3357,trail-las-7-sendas-siete-aguas-2026,https://www.mychip.es/e/trail-las-7-sendas-siete-aguas-2026,97,234,,6992db4dacf2eb6e3440e9fd,12K,44,11,32,,"Trail las 7 Sendas - Siete Aguas, 2026",España,Comunitat Valenciana,1,1,0,,287,86,201,,331
Siete Aguas,La Hoya de Buñol,39.4756327,-0.914948,2026-05-24T00:00:00Z,12000,93,57,36,,trail_running,finished_official,3357,trail-las-7-sendas-siete-aguas-2026,https://www.mychip.es/e/trail-las-7-sendas-siete-aguas-2026,69,46,,6994029dd33f3ecae02da323,Caminata,21,11,10,,"Trail las 7 Sendas - Siete Aguas, 2026",España,Comunitat Valenciana,1,1,0,,94,58,36,,115
Alberic,la Ribera Alta,39.0867813,-0.5375672,2026-05-23T00:00:00Z,,,0,0,0,other,finished_official,3336,naranjas-a-domicilio-2026,https://www.mychip.es/e/naranjas-a-domicilio-2026,0,0,20,69404ee3888884a6efdd15a5,Naranjas a domicilio,20,0,0,0,Naranjas a domicilio 2026,España,Comunitat Valenciana,,0,0,0,20,0,0,0,20
València,,39.4560008,-0.3976376,2026-05-23T00:00:00Z,,,0,0,,climbing,finished_official,3376,3-prueba-de-liga-infantil-de-escalada-jocs-esportius-femecv-2026-valencia,https://www.mychip.es/e/3-prueba-de-liga-infantil-de-escalada-jocs-esportius-femecv-2026-valencia,29,26,,69e753e40c767b7c76fd2a0e,LIE,55,0,0,,"3ª Prueba de Liga Infantil de Escalada - Jocs Esportius FEMECV 2026, València",España,Comunitat Valenciana,,0,0,,55,0,0,,55
Alcoy/alcoi,,38.7088789,-0.4645454,2026-05-22T00:00:00Z,1560,58,12,46,,running,finished_official,3361,viii-milla-solidaria-esclaves-scj-fundacion-nirvel,https://www.mychip.es/e/viii-milla-solidaria-esclaves-scj-fundacion-nirvel,24,55,,69a8755e856d471d83b8c796,Milla,19,10,9,,"VIII Milla solidaria Esclaves SCJ, Fundación Nirvel",Spain,Valencian Community,2,2,0,,60,14,46,,79
